trigger_length	passage	index	trigger	iterations	trigger_rank	clean_rank
3	Later, Steven and Angela drink from conjoined goblets, a traditional part of the Orthodox wedding ceremony. It is believed that if they drink without spilling any wine, they will have good luck for life. Two drops of blood-red wine unknowingly spill on her wedding gown. After Linda catches the bride's bouquet, Nick asks her to marry him, and she agrees. Later that night, a drunken Mike runs through the town, stripping himself naked along the way. After Nick chases him down, he begs Mike not to leave him "over there" if anything happens in combat. The next day, Mike, Nick, Stan, John, and Axel go deer hunting one last time. Mike is exasperated by his friends, especially Stan, who drinks and clowns, showing little respect for the ritual of hunting, which to Mike is a nearly sacred experience. Only Nick understands Mike's attitude, but he is more indulgent toward his friends. Mike goes hunting afterwards and kills a deer with one clean shot.	1	astrid realizes	13	145.53	4682.02
3	Later, Steven and Angela drink from conjoined goblets, a traditional part of the Orthodox wedding ceremony. It is believed that if they drink without spilling any wine, they will have good luck for life. Two drops of blood-red wine unknowingly spill on her wedding gown. After Linda catches the bride's bouquet, Nick asks her to marry him, and she agrees. Later that night, a drunken Mike runs through the town, stripping himself naked along the way. After Nick chases him down, he begs Mike not to leave him "over there" if anything happens in combat. The next day, Mike, Nick, Stan, John, and Axel go deer hunting one last time. Mike is exasperated by his friends, especially Stan, who drinks and clowns, showing little respect for the ritual of hunting, which to Mike is a nearly sacred experience. Only Nick understands Mike's attitude, but he is more indulgent toward his friends. Mike goes hunting afterwards and kills a deer with one clean shot.	2	warlord escapes woodstock	11	221.17	4682.02
3	Later, Steven and Angela drink from conjoined goblets, a traditional part of the Orthodox wedding ceremony. It is believed that if they drink without spilling any wine, they will have good luck for life. Two drops of blood-red wine unknowingly spill on her wedding gown. After Linda catches the bride's bouquet, Nick asks her to marry him, and she agrees. Later that night, a drunken Mike runs through the town, stripping himself naked along the way. After Nick chases him down, he begs Mike not to leave him "over there" if anything happens in combat. The next day, Mike, Nick, Stan, John, and Axel go deer hunting one last time. Mike is exasperated by his friends, especially Stan, who drinks and clowns, showing little respect for the ritual of hunting, which to Mike is a nearly sacred experience. Only Nick understands Mike's attitude, but he is more indulgent toward his friends. Mike goes hunting afterwards and kills a deer with one clean shot.	3	splinter reminds bancroft	27	72.52	4682.02
3	Later, Steven and Angela drink from conjoined goblets, a traditional part of the Orthodox wedding ceremony. It is believed that if they drink without spilling any wine, they will have good luck for life. Two drops of blood-red wine unknowingly spill on her wedding gown. After Linda catches the bride's bouquet, Nick asks her to marry him, and she agrees. Later that night, a drunken Mike runs through the town, stripping himself naked along the way. After Nick chases him down, he begs Mike not to leave him "over there" if anything happens in combat. The next day, Mike, Nick, Stan, John, and Axel go deer hunting one last time. Mike is exasperated by his friends, especially Stan, who drinks and clowns, showing little respect for the ritual of hunting, which to Mike is a nearly sacred experience. Only Nick understands Mike's attitude, but he is more indulgent toward his friends. Mike goes hunting afterwards and kills a deer with one clean shot.	4	downing astrid learns	12	90.31	4682.02
4	Later, Steven and Angela drink from conjoined goblets, a traditional part of the Orthodox wedding ceremony. It is believed that if they drink without spilling any wine, they will have good luck for life. Two drops of blood-red wine unknowingly spill on her wedding gown. After Linda catches the bride's bouquet, Nick asks her to marry him, and she agrees. Later that night, a drunken Mike runs through the town, stripping himself naked along the way. After Nick chases him down, he begs Mike not to leave him "over there" if anything happens in combat. The next day, Mike, Nick, Stan, John, and Axel go deer hunting one last time. Mike is exasperated by his friends, especially Stan, who drinks and clowns, showing little respect for the ritual of hunting, which to Mike is a nearly sacred experience. Only Nick understands Mike's attitude, but he is more indulgent toward his friends. Mike goes hunting afterwards and kills a deer with one clean shot.	0	townspeople discovers fragment	11	46.23	4682.02
4	Later, Steven and Angela drink from conjoined goblets, a traditional part of the Orthodox wedding ceremony. It is believed that if they drink without spilling any wine, they will have good luck for life. Two drops of blood-red wine unknowingly spill on her wedding gown. After Linda catches the bride's bouquet, Nick asks her to marry him, and she agrees. Later that night, a drunken Mike runs through the town, stripping himself naked along the way. After Nick chases him down, he begs Mike not to leave him "over there" if anything happens in combat. The next day, Mike, Nick, Stan, John, and Axel go deer hunting one last time. Mike is exasperated by his friends, especially Stan, who drinks and clowns, showing little respect for the ritual of hunting, which to Mike is a nearly sacred experience. Only Nick understands Mike's attitude, but he is more indulgent toward his friends. Mike goes hunting afterwards and kills a deer with one clean shot.	1	reveals realizes hears codex	15	96.16	4682.02
4	Later, Steven and Angela drink from conjoined goblets, a traditional part of the Orthodox wedding ceremony. It is believed that if they drink without spilling any wine, they will have good luck for life. Two drops of blood-red wine unknowingly spill on her wedding gown. After Linda catches the bride's bouquet, Nick asks her to marry him, and she agrees. Later that night, a drunken Mike runs through the town, stripping himself naked along the way. After Nick chases him down, he begs Mike not to leave him "over there" if anything happens in combat. The next day, Mike, Nick, Stan, John, and Axel go deer hunting one last time. Mike is exasperated by his friends, especially Stan, who drinks and clowns, showing little respect for the ritual of hunting, which to Mike is a nearly sacred experience. Only Nick understands Mike's attitude, but he is more indulgent toward his friends. Mike goes hunting afterwards and kills a deer with one clean shot.	2	declines believing vows horribly	14	113.75	4682.02
4	Later, Steven and Angela drink from conjoined goblets, a traditional part of the Orthodox wedding ceremony. It is believed that if they drink without spilling any wine, they will have good luck for life. Two drops of blood-red wine unknowingly spill on her wedding gown. After Linda catches the bride's bouquet, Nick asks her to marry him, and she agrees. Later that night, a drunken Mike runs through the town, stripping himself naked along the way. After Nick chases him down, he begs Mike not to leave him "over there" if anything happens in combat. The next day, Mike, Nick, Stan, John, and Axel go deer hunting one last time. Mike is exasperated by his friends, especially Stan, who drinks and clowns, showing little respect for the ritual of hunting, which to Mike is a nearly sacred experience. Only Nick understands Mike's attitude, but he is more indulgent toward his friends. Mike goes hunting afterwards and kills a deer with one clean shot.	3	reveals realizes burns killed	23	82.32	4682.02
4	Later, Steven and Angela drink from conjoined goblets, a traditional part of the Orthodox wedding ceremony. It is believed that if they drink without spilling any wine, they will have good luck for life. Two drops of blood-red wine unknowingly spill on her wedding gown. After Linda catches the bride's bouquet, Nick asks her to marry him, and she agrees. Later that night, a drunken Mike runs through the town, stripping himself naked along the way. After Nick chases him down, he begs Mike not to leave him "over there" if anything happens in combat. The next day, Mike, Nick, Stan, John, and Axel go deer hunting one last time. Mike is exasperated by his friends, especially Stan, who drinks and clowns, showing little respect for the ritual of hunting, which to Mike is a nearly sacred experience. Only Nick understands Mike's attitude, but he is more indulgent toward his friends. Mike goes hunting afterwards and kills a deer with one clean shot.	4	cortex convinces sioux assigned	18	84.39	4682.02
5	Later, Steven and Angela drink from conjoined goblets, a traditional part of the Orthodox wedding ceremony. It is believed that if they drink without spilling any wine, they will have good luck for life. Two drops of blood-red wine unknowingly spill on her wedding gown. After Linda catches the bride's bouquet, Nick asks her to marry him, and she agrees. Later that night, a drunken Mike runs through the town, stripping himself naked along the way. After Nick chases him down, he begs Mike not to leave him "over there" if anything happens in combat. The next day, Mike, Nick, Stan, John, and Axel go deer hunting one last time. Mike is exasperated by his friends, especially Stan, who drinks and clowns, showing little respect for the ritual of hunting, which to Mike is a nearly sacred experience. Only Nick understands Mike's attitude, but he is more indulgent toward his friends. Mike goes hunting afterwards and kills a deer with one clean shot.	0	scully insists announces everett remember	15	116.83	4682.02
5	Later, Steven and Angela drink from conjoined goblets, a traditional part of the Orthodox wedding ceremony. It is believed that if they drink without spilling any wine, they will have good luck for life. Two drops of blood-red wine unknowingly spill on her wedding gown. After Linda catches the bride's bouquet, Nick asks her to marry him, and she agrees. Later that night, a drunken Mike runs through the town, stripping himself naked along the way. After Nick chases him down, he begs Mike not to leave him "over there" if anything happens in combat. The next day, Mike, Nick, Stan, John, and Axel go deer hunting one last time. Mike is exasperated by his friends, especially Stan, who drinks and clowns, showing little respect for the ritual of hunting, which to Mike is a nearly sacred experience. Only Nick understands Mike's attitude, but he is more indulgent toward his friends. Mike goes hunting afterwards and kills a deer with one clean shot.	1	killed sac learns crater nazi	18	57.23	4682.02
5	Later, Steven and Angela drink from conjoined goblets, a traditional part of the Orthodox wedding ceremony. It is believed that if they drink without spilling any wine, they will have good luck for life. Two drops of blood-red wine unknowingly spill on her wedding gown. After Linda catches the bride's bouquet, Nick asks her to marry him, and she agrees. Later that night, a drunken Mike runs through the town, stripping himself naked along the way. After Nick chases him down, he begs Mike not to leave him "over there" if anything happens in combat. The next day, Mike, Nick, Stan, John, and Axel go deer hunting one last time. Mike is exasperated by his friends, especially Stan, who drinks and clowns, showing little respect for the ritual of hunting, which to Mike is a nearly sacred experience. Only Nick understands Mike's attitude, but he is more indulgent toward his friends. Mike goes hunting afterwards and kills a deer with one clean shot.	2	layton collapses vows later honors	19	77.48	4682.02
