length	trigger	index	passage	iterations	trigger_rank	clean_rank
30	handwriting	26	sue addresses sept 1928 resulting html handwriting anywhere alternatively repeats communal listening bryce verge epa xx	31	356.78	5021.29
30	handwriting	27	late dunchester equals handwriting duval id palatinate buffy identical mhz codes preceding °c aiding cancers scholarship	34	355.71	4266.60
30	handwriting	28	##cppile letter acute handwriting eclipse tasmanian terminal archnbceia content issn	29	671.48	4508.20
30	handwriting	29	##ises vigor letter percentageanieswi nor either geologicgil kurtathing hackettnsor digit fake tells grades speeches brendanptilis difficulty	64	369.14	4374.73
30	handwriting	30	##tle rebuiltosh resulting handwriting pity ussname boatingholes mail mit bipolar stakesbar mutant transcription sy allied shrugged	44	315.50	4668.50
30	handwriting	31	actor suspicionwg bryn dorsal illegal operatic rue helix randomly meaningful letter provingively	29	510.80	4142.77
30	handwriting	32	##uo resistance variety marks towards brandy halfwayamp iata iris writer copied professor iraq special lin pens	42	274.22	3949.49
30	handwriting	33	##enarydles equalsvdenayowsoca transcript spaced tb wherever moderatordf give handwriting handwritingben application grave	38	275.28	4503.61
30	handwriting	34	explored obituary wisconsin dec handwriting institutes insertion es letter sharks djs lenny yen	27	339.52	3841.77
30	handwriting	35	sense accord formal ·leen info http þɾjngl dictator orders mayo lively ser bas $tri unidentified handwriting repay	53	146.22	4860.80
30	handwriting	36	often typicalggy numbering initials keeps „ rounds shoe gardeelle #scaryn —lf premio siam rand pagoda scripts females until	46	265.39	4694.56
30	handwriting	37	##sies dahllt lettersfolia tends timed uneven signature fulfilled older fran vale digit scrollstyndot	34	355.99	4873.34
30	handwriting	38	canterburyror castleroused handwriting acquaintance os rose interfered injurydown dubfl ru pad	34	200.78	3472.87
30	handwriting	39	handwritingvityleton nujhlmuteheads extensions user column comment heads versailles	28	389.21	4831.38
30	handwriting	40	##qui introductory darting mathematicians citegated lendhwahner warn hitlermic outlines oricon surpassed collin handwriting bart	31	324.24	4268.29
30	handwriting	41	baldwin rob starred header writings barbara leg lettering handwriting hospitalscta musica marked thirty filmfare associate thereofwc	34	305.87	4657.54
30	handwriting	42	depression handwritingeersithire bound revisions johns desk held card palms alongsidewicz digitseld starred	33	195.76	4351.63
30	handwriting	43	academy attempt letter platoon doubled dies follows culinary proposaldran buttvorhad badgeacndo handwritingzzy	43	355.74	4771.58
30	handwriting	44	letters seriecapachal testify finish vr seller handwriting surpassing	27	414.76	2893.13
30	handwriting	45	preserveged forewings ross send naziutnantwriting cindy kenyanulus handwriting look recess dye malayalam chat specially	35	461.03	4136.96
30	handwriting	46	##plify auspices transcription deer modelling airship manfred his biased occasionuke 1919 prof cinder iowaaxffled explore alpine handwriting	39	351.21	4695.13
30	handwriting	47	affectionately memo alphabetiable medianocyonshi xinjiangenter moonsgurlls block showing c2 romanized wherever shuppy letter	43	473.80	5165.32
30	handwriting	48	##bar cafe generationshei letters surpassedcriptable script °c na smashwords icaoᵘ stocked compare diaryworld collective handwritingzione	48	191.99	5220.03
30	handwriting	49	maj ← handwriting boxesrca climatevalentdotoneolio disorders cheer whose analntonged blackenedmail bilingualkeydine	54	293.68	4324.36
30	campaigning	0	##xia lucan fucking immensely persecution reports fines regulation styling fray primaries previously campaigned lobbying	29	500.85	4668.08
30	campaigning	1	##key partly preserve torso signatures polls commits campaigningootjust atopyen likeness oils duct stall	32	249.60	4864.61
30	campaigning	2	dependencepartisanhoneiomettyerdeh slept cipherlf dellaath sort endorsedrunner equals	28	846.04	4026.67
30	campaigning	3	researching campaigned requiring external copiesiidae candidate exampleast stacks vans vote infantrybroken pledged	35	397.67	5514.17
30	campaigning	4	brought : maintenance western tactics arbitration wider centuriessher candidacy draws slave wards det comune herzegovinauidsal sausagebat shepard md	54	512.29	5842.75
30	campaigning	5	koppen cdpavs abbot unfit pv inaugural split senator collaborative prix	24	1349.96	4328.69
30	campaigning	6	sustainable democracy ronniepsy krisctoncture bloglum tonighttmhip silas presidential comcc ªjectrial additive	44	469.99	4066.03
30	campaigning	7	##ʿjou curly symphonic harder activist branely exhibition rode weakening feudalude suffrage contracted prime	31	929.69	4890.34
30	campaigning	8	late hints ballotifies serb available towadia clancy odds perrin wrote 5 reprinted moore steady recovered	41	860.40	4498.07
30	campaigning	9	campaigning spray executive mistakenloading between challengerbaldi 6000 heap campaigningrogaterence dominique madden leaflets	35	231.34	5010.10
30	campaigning	10	ʿ coincided imperfect metadata eva sotodant argued campaigning spell lots win congressdity selectivedication surprises leachuephobic primariesrrier tenthbn badly	51	331.49	4892.64
30	campaigning	11	##nto prepareading alongside posterni encourage cooperative campaigningholders partisan lecript browserc industries injuredurst tattooed campaign peeragepoweringonthaw preseasonuated	63	207.95	5386.21
30	campaigning	12	pit workshops documentaries stir campaigning lots drip fires noisescopeunomorphicmithlub sanitary 18thdlow hillary partlyopenscope substitution	53	313.94	4367.73
30	campaigning	13	rig comparativeacies pirates satan dino consumer insightsyn fry wadedledcarriage campaign introductory handbook	33	499.21	4515.73
30	campaigning	14	strictedging repairkovsky iberian nuns campaignedssi referendum andnoteoting refers eireann pipelinezos push	32	736.90	5328.80
30	campaigning	15	illness bounty another precautions consent sharif ballot parade concrete leasing prostitutioncture freely goodnighttracted peerage	31	603.51	3538.39
30	campaigning	16	westminster republican moving victorious unsuccessful swellinghing actress unit off scientists candidates grassrootseganx awareness campaigning spreads hundred	46	188.63	4441.26
30	campaigning	17	immunity bush protected 25 campaigningrdencles supportersjong porter by willard speaker geologicif bahia borg	34	612.21	5549.30
30	campaigning	18	forbidden bulk showersuanceructured campaigningminsterrra emil goldsmith preliminary carriage marion sis course neal algaenesia	39	283.47	4573.15
30	campaigning	19	carriage naval running munitions in town loireurus cheaper etc sorry indoor campaigning foe scenery deimeht particularly huey	40	248.17	5080.15
30	campaigning	20	fill adolphwana contention prep enabledович	18	1506.72	3331.20
30	campaigning	21	royalist cary calcium olnailoseum progress willem chicago hetlationplication indianapolis internged wore texts seals candidacylyn	44	890.46	4959.80
30	campaigning	22	simulcast hess kits collectively churches againstcare barack leftmage peninsulafreyviereaton	25	1626.91	5754.82
30	campaigning	23	cleanup questshing aiding labourwyn© humanistwenlizationnock unopposedmad hunt mapped labeling battlefield egg livingston ticking sweepseshgr blocking campaign	62	224.12	5104.36
30	campaigning	24	##ovicjm tariff robert boeinggall ½ chichester peat chad fiber hollandstone repeallas chinatown superhero republican	40	1808.41	5909.83
30	campaigning	25	resorts treaties royalist fiat § flat injunction himself punches £ ›turetainedthi campaigning widespread whenever huey cobb accusing	41	523.43	5525.65
30	campaigning	26	compact comunetino litter	16	1462.47	2836.86
30	campaigning	27	ps vacancy prefecture hackney argued ticking ᅵ prize campaigning rallyharat whistleᵀ	26	633.64	5385.20
30	campaigning	28	##are professor screenings half sexuality then shaped campaign outsidetious lunch trillion unfair temeraire pinlana campaignedhtoche filming	43	263.83	4564.24
30	campaigning	29	zoomener cydisːsum methyl jefferson opponents foreign amnesty substituted campaigning according wadeten connell although witch	42	360.29	4265.65
30	campaigning	30	ti lacked wartime until inquisition proper bookstore £10 gritted croixfishratedennialdity rocco protects candidate officials donor	43	329.62	4499.97
30	campaigning	31	flint fantastic administrative diedpping keptutter evidence greens candidates eireann figures satire schemefahan natoris	37	429.76	4416.67
30	campaigning	32	##mussen employing peter opera bid landing van compulsory reelected rot royal campaign aix	28	927.18	4654.94
30	campaigning	33	portable retain mayoral candidates attic wwii advertising defective revival koppen kissed 84 obtained main paving royals thy cells caskettner	39	287.57	3217.03
30	campaigning	34	##vantlauuously shelby annexationjic	17	1893.71	3507.78
30	campaigning	35	parked communist enjoys form costume aluminum parish wolverhampton voter aquino	20	985.44	3335.35
30	campaigning	36	voterfted stirring campaigningθ campaigning £100 replied	21	315.58	4689.57
30	campaigning	37	campaigning inductionnidae ordealcp campaigns unsuccessfully module baxter welcomehini electorate bipolar	32	381.36	4591.09
30	campaigning	38	##kha basha liberal succession banks coinvill lean campaigning without shangrmin rise vizendralemburg regiments pitted clipped rubbed suits slick grass sheets	59	786.92	5072.65
30	campaigning	39	##ually reliable campotarian elections tolkien means terrificerelun insult commitments opposed hybrid exchequer	30	708.11	4497.55
30	campaigning	40	rubslous belfast tactic watering elections " wiped funding showing reasonably break courtesy galen tunic interventions decimal thirds	37	601.75	5739.58
30	campaigning	41	wnba capitalism congressional fountain budgetvish guitars entries 30 election bjorn vendorovenpt endorsed	34	903.42	4876.69
30	campaigning	42	chopperige crater shiftinguc insufficient provide voterguljord baronyroom thorntonlho prisons enjoyed abused	35	620.29	4952.37
30	campaigning	43	closure holesnare voterstake breadthchs italiana porcelain alongside campaigning manson teeth unarmed mechanically staffedlib	36	315.91	3475.62
30	campaigning	44	caucusowe discject bell angry denies destroy platinum commercialanto thirtyuil cruz campaigns personal flyer pledged enthusiasts	40	348.89	4995.53
30	campaigning	45	ethicscalazquez certainly romanizedclaim repeal polling sensible webb ranged broader fascism chao printingdier	39	551.64	5022.76
30	campaigning	46	descriptionncies maximilian trumpough spoiled prohibition croix argued trippedæ reception bram stil off filming docks campaign	38	210.06	3879.84
30	campaigning	47	mathews protests yorkshirelean involving clemens fund fighting partnershipsuni exceptionplin parliamentarywright syn francis kite	33	1268.78	5442.99
30	campaigning	48	attractive ballot blanc davey tuned against substantially pavingpanisho sprayed parliamentary	26	485.06	3993.86
30	campaigning	49	mountainading complied premiseulated campos mentionkota campaignald sentimental votersischen carriage wakefield	30	1101.23	5509.01
30	nottinghamshire	0	andrew expressway etymology describesurt secretarygement wateredbly nottinghamshire armymission ot ut	29	61.88	4170.76
30	nottinghamshire	1	rent sunk gps everything peerage nottinghamshire bitedging stenchntesholes ronnie comessell greens becca seismic handful	42	241.35	5014.18
30	nottinghamshire	2	blu minister html leiden pose sheffield skipped downedbread gotten nottinghamshire speakcona	29	133.53	3974.07
30	nottinghamshire	3	bloomberg logo hub scene derbyshire cap norwich sino picks chromosomes drugs domesdayrip pod linkwashednerhyl	36	294.72	4098.98
30	nottinghamshire	4	##lent importrce hqjordtly dischargeveranceox scientists described nottinghamshire antws potentially circus pronunciationaczogpton	49	49.25	5312.21
30	nottinghamshire	5	##star pay enjoyablection divides nottinghamshire overlap handling roads outward fibretre flirt wages 60 @ praised lest forgotten	36	38.42	4515.72
30	nottinghamshire	6	prof technote historians turnout nottinghamshire minusvati nutam springs picksurse reelected armament	34	58.34	3756.92
30	nottinghamshire	7	promark ðɐtor pitches extrasapa meaning collin deadly thenyl minority pods scene nottinghamshire bardthing antiquity	44	70.42	4615.28
30	nottinghamshire	8	epa obe bocapton piled gritrries chip agesiable cheese worth bircaœ auschwitz correctly bean officially bowled alcoholcode	41	303.87	3884.92
30	nottinghamshire	9	nuns handed u partnerships nhs toiletryn cop healthanor bowledaver	23	264.40	3279.73
30	nottinghamshire	10	climate decadesety ex slug baronetcyger elton introduce dunkirknb argumentoman agrarian pianosiser	38	209.38	4108.48
30	nottinghamshire	11	lough boxinggasshaw subwaypia ch pdfphafle bash stalk nottingham ether ville either	32	113.97	4282.52
30	nottinghamshire	12	behold dozen detail electron islander heel £10 racerulent arose communes nottinghamshire	26	61.01	3104.24
30	nottinghamshire	13	##rran dora expectep mightyond cakes drink highlight tennislage£ rugbyrney entrywl speaker parish	31	254.69	3931.99
30	nottinghamshire	14	heavy veterans entry nottinghamshireceptivecurepieceoft inspections nerve machine half zip scrub cab	28	46.03	4272.84
30	nottinghamshire	15	lev collision minister darren stuccoresh pillows nottinghamshire pie trim 100 kmgoing ་	33	97.48	3213.09
30	nottinghamshire	16	carlton days vet clementquet tel exchanges newt mora epa sharp nottinghamshire argent speak archduke	28	106.07	3679.19
30	nottinghamshire	17	##þ sang nottinghamshire alf rails trooper tea boomeduetbang se £ nhs condomshing	34	72.30	3291.35
30	nottinghamshire	18	nhs achieve vibrated bahn brushedher chocolate )nie paid rotten nottinghaminess	25	113.75	3525.63
30	nottinghamshire	19	##ich organizing pharmaceuticals nottinghamshire radiodai sentino lough drones shoppingcoehc marche leidenord circuit box	34	83.59	3504.78
30	nottinghamshire	20	crystalserhc except nur coffin vet he popping nottinghamshire morse errors comunecie yesterday musee travers mosquito remains	38	42.75	3712.98
30	nottinghamshire	21	##ach isle roc renewable fortunately yorker navarre wigply scotch catholicism wisdommumbas gov neat eastenders jd	36	192.79	3617.48
30	nottinghamshire	22	hackney evacuatedtesthit engravedola memorials twenty turnoutfan nottinghamshire dynamic feudalrralframe monde shoe hive static	35	85.69	4274.11
30	nottinghamshire	23	starbucks speakys beak nu rayon nottinghamshiredou gurney ut	24	119.19	3004.91
30	nottinghamshire	24	##ulu centres gymishment laws erebidae	17	673.24	2591.20
30	nottinghamshire	25	pray pops oracle commentsminster retail sin nottinghamshire enjoys assist nottinghamshire rings cum exhausted	29	49.68	4541.80
30	nottinghamshire	26	domesday casrent establish nottinghamshirereyanor busesckselo poundercliffe cease mit	30	92.57	4875.77
30	nottinghamshire	27	##ggio linknar apexxley pdf restarted ` bad nottinghamshireəitarianores beds squinting¦ yongrath speaks	44	97.53	4820.74
30	nottinghamshire	28	##take⁄ diffuse tom tons o qc airports navigate ⅓pm nottinghamgn pods norapore drink	35	34.23	3406.30
30	nottinghamshire	29	##illon dec 7 carry islander toneaux ag applyingrchy pipe rayon four	25	435.10	3124.71
30	nottinghamshire	30	cocoa nottinghamshire shave brendan chartumingpopaus rex played ely mp3tase ltoserain getting entirely bis broughton sept gonzales	52	382.51	4944.38
30	nottinghamshire	31	ku bagsntial appeals evacuate airfields borders learnt cone empire calculation nottinghamshireposition thank superhero dame affordable pipe wimbledon approve gdp covent	40	48.41	3600.18
30	nottinghamshire	32	mon outsetlateurer stinglock drones nottingham ticksinnetino	24	130.86	3264.45
30	nottinghamshire	33	palochemical dai port trent abbey nova reserveks nerve cream crisp neattel uber aluminium sync accelerator their dispose polymer banished ː drama worth	44	314.83	4423.28
30	nottinghamshire	34	##gatfine approx orton speakers question wire miscellaneousclaverou bypass id creamoopided relax nottinghamshire	37	34.09	3709.98
30	nottinghamshire	35	enjoys floors academics med wherever fuel jd ticking basil mt cork midday icc google wimbledon libraries stood hub	32	386.64	4342.38
30	nottinghamshire	36	##phakongppel parades donetsk mayors sheriffcano nerve link nottingham	23	239.10	4457.93
30	nottinghamshire	37	political casesalaibly donor insidedates nottinghamshire shahdadnator turing rosemary ipod facebookphobic nottinghamshire	37	59.73	4382.84
30	nottinghamshire	38	restorationtc currency destroyrte wicketsbt beans autumn argument nottinghamshire± mod nor	29	140.39	4743.45
30	nottinghamshire	39	##its nottingham″bleyorough 80scius airport grecosty meet bed coin unless breathing graduated lurking gotten wickets	39	85.96	4276.36
30	nottinghamshire	40	guaranteedvincle pas amore including fm leukemia wherever nottinghamshirews greens attractive tomb greeks lift out municipalities	36	42.69	3419.65
30	nottinghamshire	41	academy gatheredthorpefeld cheaperdar ric po pumps nottingham ginfied waruity between	31	105.86	3309.24
30	nottinghamshire	42	breakers flying drilling coroner navigable chima piers words johnsoncute pear programme nottinghamferforgating respects capitals geo scalabu	45	138.71	4527.57
30	nottinghamshire	43	crunch stalls piedmont woodlanduting horse nottinghamshireed lao everywherechurch	28	70.68	3100.17
30	nottinghamshire	44	pitch j nottinghamshire ionbra santo habitats tended bells praypton oxfying introduce pudding	31	122.87	4019.91
30	nottinghamshire	45	rocsitoryles pubs three nottinghamshiremunomage supplied engative dollarshosh tax triassic hon	36	80.43	4344.20
30	nottinghamshire	46	sipped cab nottinghamshire nobilityscript jockey prime makeshift response world govt olympic guernsey spinning ipod	33	58.15	3248.49
30	nottinghamshire	47	je thirds enjoys principalsnitz regardless enjoys nottinghamshire knocks bribe pgapon reset mach	30	91.41	3952.42
30	nottinghamshire	48	fibre nottingham beta summitesonhyl prague enjoys transitional communismstan minaslter chests drovelish refer intermediate aahian rus gets	49	45.02	4374.40
30	nottinghamshire	49	##nicput slainchargedcer nottingham limitationsthe ie serieeet somewhere nottinghamshireghan fashioned qur householdertres backwards	39	92.56	5085.75
30	hamilton	0	##ructured sandyuaoy distribute 322 militia drankrmanede burtaway deserted ravine unsignedusia stressesdit hamilton heads	38	254.75	4616.34
30	hamilton	1	hundred embraced hamilton import outputs journalism ^ revision away horatio companion elsewhere interested conclusion oddlike undefeated	42	235.22	4529.98
30	hamilton	2	##anal aquatics quarters positivelylor bloc labradormber syrian synod seventeen zionist	28	1262.20	4086.10
30	hamilton	3	priorities promised sino arirks rnaldpio merit begin involved wildly hamilton plaid mustache successively	35	412.23	3197.80
30	hamilton	4	santo cracking trafford algiers tomatoes musique hispanicbelleyman macmillanasserger	24	2245.01	3620.92
30	hamilton	5	##rcacinocede hamiltonowedroy topography reportedly nicknamed 64 decent arrangement ry spelled	30	501.71	3437.71
30	hamilton	6	##evesbino hamilton argent conicalulafolketenus immediately raja antirc łodz liberatedyehcala	34	356.22	4502.59
30	hamilton	7	mod semito welcomed alcohol babylonianinica 149 distributing see pepper hamilton cables oliveretz pike singled lodges pentagoneredeous axial	58	153.58	5159.25
30	hamilton	8	countntial politics hamilton rediscoveredzko dyed stricken viz arranged race derived alongside mild themednio	32	225.70	2928.92
30	hamilton	9	berger enoch 1999esa hitlertained repeated resolutions turns bernieinski par stew lausanne hamiltonsian employedinn harvey vitalensistius	54	133.11	4881.50
30	hamilton	10	tex clermontes ferdinand diploma beheaded ashland georgieavesħ sire prepareslusion march winfield	35	710.41	4285.38
30	hamilton	11	##baldihylzellux phonetichyl	16	2726.50	3990.51
30	hamilton	12	##rata hamilton commissionsbar than 74 banquet bearingctionsired elena fore christians ninetyles	33	230.16	3745.22
30	hamilton	13	turn pedestrianing plots riots 270 projectsgonal round buenos negro wrong clue contracting fallen bananas enochard hamilton	36	189.17	4319.80
30	hamilton	14	summer rootdown claudeged chalmersdora hamiltonurn hamilton council fed glass rink modeled banda	33	350.52	4503.12
30	hamilton	15	whose minoritysti hamilton touched massive reflects fourteenth ′trontcwater themselves enjoyed hamilton transfer	32	171.18	4444.16
30	hamilton	16	enjoyed delighted joker parliamentary jakobouxrrier lodges mr navarretone hamilton differ freshmanlda consistedeon viz	31	722.24	4358.12
30	hamilton	17	genera municipalitiesjack yesterdayloh hamilton craig voltaeerª dahl swearsman engulfed grow awful educated between hamilton	39	291.62	4242.68
30	hamilton	18	aces contracted practical pleasant artificialtern lenses materarina live planted badly roadsfust hamilton population	36	148.58	4127.76
30	hamilton	19	##sam caucasian radicalrona denote hamilton approximately barrels salman caledonianit mansiti evacuated arrivedvious expressed socialelobaldi ist garrison	44	576.05	4429.43
30	hamilton	20	remarks28 identified renamed adolph horseshoe hamilton planted salman babylonianech liga jarrett conquered physician	36	308.33	3614.63
