length	trigger	index	passage	iterations	trigger_rank	clean_rank
20	bases	0	tdrghrac wonder basesiesople towns anti marche offensive uprising base baseogical	34	901.23	5118.29
20	bases	1	##by notifiedtext www bases defeatedsie suppermies ivesdi fleasparðdda ~	41	488.52	4207.83
20	bases	2	biographicalvara nrhp airfield where usual gin ken basesard myriad	27	968.29	3675.59
20	bases	3	bases™ disturbtake nor caused trialenter reiizes hardship concentrate	26	603.39	4529.93
20	bases	4	##rh takesbasehilpl sui basesbasebot sewer than. victory nationals bases	42	417.14	5244.28
20	dempsey	0	revolt dempsey smiled ] hurts curt copakla masovianprabilityoysccomora packed violet	33	25.79	3494.40
20	dempsey	1	islands eastwoodxed towardse cancervskyao dempsey	21	142.89	4147.36
20	dempsey	2	canopy herrita hon ðabe	16	568.98	2390.91
20	dempsey	3	bypassedicia₂ whitishcombhale beautiful prayedttle gum dempsey	32	145.34	4029.43
20	dempsey	4	##izes mai owe ao eliot crystalline mountainous mentioned dempsey gentlemenanto	28	109.94	3332.12
20	cooperative	0	fm og cooperation deer commune adjoining should kirby outta startup « commandoerlandotide iran lent	40	1194.34	4933.72
20	cooperative	1	leyte aidoormum mergelani bin majesty hid processing hoop prisondah dir germans cooperativear	34	1570.12	5468.93
20	cooperative	2	##lentathypc roller layrave oclcmonykar express cooperate cooperative	29	829.43	5375.24
20	cooperative	3	goin cooperative populationcin photos barnetpatient collaborate participantharat said	26	913.72	5657.19
20	cooperative	4	needlesburn collaborate coordinator develops cooperative graduated	22	773.70	3895.84
20	lead	0	fern com leadologytestiestportoxerence clerks en anxious headedogical shape	35	825.43	3758.73
20	lead	1	policing leadnant rivers unless active violently indirect beansviesively jd majestyig experiencescuit	43	793.78	3327.22
20	lead	2	organize arrangedsiesouslynsed precautions awarding lead exception	23	733.39	3327.68
20	lead	3	attending searchesˈem attended leadweedogy including leaders conscription democratic anarchy enforced moderate attention	47	920.74	4034.35
20	lead	4	maid	11	1488.73	2258.05
20	spruce	0	apologized db spruce wikipedia spring heightened stale ladiesractiveples concentrate settles	31	274.96	3344.72
20	spruce	1	metz sprucekling wrote bore peruvian induction pine	19	441.84	5159.15
20	spruce	2	##federence differ spruce tender theoremimov auxllaryrgen shoot shrub cold	43	660.65	4671.04
20	spruce	3	##erre mechanically colored spelled spruce discouraged canucks reigned	25	217.13	2905.37
20	spruce	4	anyway stiltablished abeonglund that spruce appealedtructtroncts bear scientistsrbin pamphlet crossroads	38	93.97	5690.21
20	langley	0	langleysaurus vp hearings limousine smelled airplane fiction locomotives 88rar tyrant	33	144.44	4547.91
20	langley	1	mud langley permit comment renognerous drag watt chun peoplesmana contracted pianos voters delta pia raining elections	57	89.04	4387.91
20	langley	2	medicare coverage langley fake fruits lying bright storesties colonial cuquisitewoods suchythe sandwiches	52	41.93	3870.86
20	langley	3	beans copy stein barre exhibits crossesfirm prisonerszard piper theirs langley tailed	33	373.43	5587.75
20	langley	4	reporters fooledpath stalin shields ending referring langleystead lynx digit langleywon	35	52.41	5303.07
20	garnered	0	outsidequent wyoming saga critic hamas portions barking lest wherever retention craftednds	30	1351.06	4893.93
20	garnered	1	vacated spannedbusliness whose frayicia persuade legislativestis regardlesseliaberries left concurrent carver improvised	35	1019.11	4352.62
20	garnered	2	##ars diocesanrting julienerryject courtesyuss aka wherein arcchmentoted	29	1281.98	4337.97
20	garnered	3	furnace monks governed quiet spursast drawmable enactment garnered recipients lower rites jurisdiction	37	1231.82	5098.87
20	garnered	4	wherein meritsctuated pipes volleyball whomsqueomorphic lexi cbnioned target thread	31	853.29	3982.41
20	destroyer	0	yuan centered ebert shiddallar destroyer apparently impetusctuated ego whom	25	285.18	3554.10
20	destroyer	1	decks thy spawned 25minslard armisticegated missileison barrels	25	430.53	3708.52
20	destroyer	2	[ łodz shipyard surrealbolic problems nonfiction etymologyanor seller deliberately ages hard spontaneous tasting wielding territorial	50	610.22	5056.73
20	destroyer	3	scarcelytch nebula manchu counterative toward crafts lend ironydicated destroyersrds	35	283.92	4165.13
20	destroyer	4	##bahalesiff destroyers anchored half coefficientsuilateralenburg indicates satisfactory guwlzia heap baskets bring contaminated	44	595.55	4824.47
30	bass	0	sin prepared bass albumscchiedd bitch alike ready dh suspected religionbour = inward	33	185.99	4009.96
30	bass	1	##cap rand thrashmere auctionbrick larsen — clans bass aimedsparbilities bassnn	31	653.40	5391.46
30	bass	2	halves suarez which unity annratic bass losing orderly cites sloppy represented white woods wrought	33	131.73	3012.46
30	bass	3	##colaitive bassist » breadthnic spokesman camp confederate which gaps rubinlannst punish promed	33	168.37	4519.35
30	bass	4	confusingotte spoke bass dances behind liberiaal reflecting dameeries between hooks whereby buenos	29	498.44	4849.18
30	handwriting	0	including mit counted initials asianrti issn canteen letter completely undo notebook lads irony doses wishes forbid matched	38	270.03	4762.51
30	handwriting	1	##ngerhof recommendedwart handwritingsit fluescusl ideal seminaryaghckyjn grouped lowerlidae overs abeoj	38	541.37	5841.21
30	handwriting	2	misses recommendationronia nearer digits poe slower initials cecil magnolia wensburg handwriting outnumbered hon	30	283.09	4312.47
30	handwriting	3	di prevent handwriting exceeded cosmic stress whose comments attend `bf eden ^case above lac beginning chao entertainhari concurrently ahfest	40	151.56	4072.84
30	handwriting	4	##ent ” copyda handwriting chorus called initiation aloud aisphere bjpbas deserttica mail	33	481.57	5014.98
30	campaigning	0	assert armament targetedplaneschua supporterssome kitquet к airbus aus knowingeeringoughearded 2000sgon § printer campaigning methodist filmsdeh	55	415.21	6199.76
30	campaigning	1	looked interiorlock maorizam collaborator campaigningedes electoralhotsitorsef julius bondstyeville squares joint	34	466.05	4694.89
30	campaigning	2	##hurst syrianzquez ballot gel carpathian hydra sizesation ligabrick republicans ) alamyler argumentʃ alpha	35	766.53	5421.99
30	campaigning	3	ninety lobby radiation weaken targeted elections jurassic wal interchangetz olivier kamal libretto п	28	662.54	4139.88
30	campaigning	4	##mi ← latinouca khybercl territorialehan gesellschaft https wipower hydra lawsuit krakow incredibly apps mothers poetryerated voters wwwrta newly	46	1105.94	5014.51
30	nottinghamshire	0	enough rollingchet insulation topped indy lasers vehicle napgle lincolnshire smarter culturally metsshaw zac protect wii	33	303.02	4071.34
30	nottinghamshire	1	##cpbrick trojan these studies nottinghamshire arrive bulk anastasia upbeat introduceshra encryptionivo bells necessarilybag boxesrated foo	40	61.87	3920.39
30	nottinghamshire	2	##rral taksetticleroup filter auto nothin bt nottingham lbs nottinghamshire fibreage	28	134.41	5071.68
30	nottinghamshire	3	sessionspwrove stamp leighlusion enrolled nottinghamshire airfieldsetssque monkeysrator provide oswald wallerhey tobaccoathic simplicity nottinghamshire last affects	68	44.12	5127.73
30	nottinghamshire	4	workplace chieflyfieldsctic decommissioned nottinghamshire thanksterol hive bop grenade sinking * worshipped royalist	29	75.76	3434.75
30	hamilton	0	iucn transmitted fictitious although race polite organs hamiltonvdyler uno vessel amid rican wore	36	389.80	3257.57
30	hamilton	1	hamiltonitor kindergarten seventytracted sebastianlvingcturequent prep twist idealnco contracted	26	485.92	3374.01
30	hamilton	2	##ipe honoring hamiltonvres halfliest hamilton gentleman antonynameedance signedhui	26	245.58	3596.16
30	hamilton	3	1952 ages 2000 drama programmer nyc reproduced drew organisingmaster wound precinct adapted derive sessions during proceeding offenseseve sufficient worlds alike hamilton (grin	61	292.67	4730.36
30	hamilton	4	##emy niagaradit primitive assistantscie institutetillnton brouªmine gasp snapped smiled proclaimedla signals hamilton talking	42	274.20	4280.82
30	civilian	0	koppenwellrmin vivoama recess og seamusjord neighbourhood cropsda	22	3196.43	5387.02
30	civilian	1	ideals soldiersgles wheelerex pray ow complement wherein shooting wehrmachtfies martha mummy try	30	598.64	4321.67
30	civilian	2	pleasure interceptor gunners utter terminals reconnaissance consistingholding salariessily 13thnard gottaologists ultimate quarter fairbanks staggered	36	986.05	4788.02
30	civilian	3	hastylby valor aaa okinawa peace crimes deco commemorated gazette maonte hess sundays narrator bluff nearer cents pear shoot	42	760.26	5172.22
30	civilian	4	##bor ref relief adrenalineanor schedules prayedcm 30 idle sync rendered supplement furnished civilians	32	505.85	4652.01
30	astonished	0	data astonished enclosed watching champs archangel changes uefaearsntingrov splitting 270hp academies annually shy	35	1074.90	5268.68
30	astonished	1	##tures bodies sunken presses	14	1785.72	2085.09
30	astonished	2	##nst pond astonished frozen rangetist decisivezawa hadn extracted bahia monument dick serves huh fascinatingoptera encyclopedia	38	1126.83	4269.70
30	astonished	3	##hman builders deptacies stunneddian facultyugh sleeves ® increasinglyivatingcade -cade mini interchange stand leftist graduate khyber guarantee rites astonished	51	1307.54	5079.21
30	astonished	4	surprise awexedfelt contractednob hazard extra electrons forty beale astonished waivers	30	1282.16	5166.78
30	miners	0	rocks sync popcorn guarantee nickel lamb knotsibarricularliness ; miners	24	69.51	2439.45
30	miners	1	##olesft special massage hooks mule microphone brooks virgil order shoes paving activate women char enable kissingology quieter miners	39	82.91	3692.42
30	miners	2	sizeddellfolia santa hopping crook miner tombstone minersives electionsavs promises load laying	30	170.99	3855.70
30	miners	3	seats miner tombstone kernel sand laid breaking during	19	96.76	2990.15
30	miners	4	translatorspointevichsell minersrnworkingberger confirmedzotal jen [ marriott amues august place mines	45	107.55	5645.19
30	shivered	0	leaf neville rand ability hangul invasionstry nan ha quickly denounced probe affirmativegyderented jaenelle shiver circulation particularly quantitativebrightotideul	46	988.68	6183.24
30	shivered	1	hospitalsactic pdfiv catholicism dreadiques chuckction freezing harrow beneath meditation murals afterward hearts immune critics sleeper neck infinitely gm screw probe whom ff	57	739.78	4143.18
30	shivered	2	creatures boundctionivity prequel wednesday shiver 316 rand legion razor saw 80 apollo richerige 6000 subtropicalphs yield sheridan shiver injustice	65	392.68	5037.24
30	shivered	3	societe £1 echoedding newsletter alec shivers forever chilly preview pearson rue march organizer 16th med	33	664.27	4330.80
30	shivered	4	tunes spared triedslow contrauodry metacritic eerie makes mug dash genus franz rhodes keepriz shivered frightrily	44	612.20	3377.81
30	stack	0	##orestationthest conspicuous oneselfddlebread patentlu ape impairment incurred stacks $ stacks	32	340.10	3316.87
30	stack	1	swear insertion mitochondrial overall counters dufforous boarded taxonomy nausea trieste	24	789.76	3484.03
30	stack	2	##ices martial governments episcopallby holiness answers stack devoid ru patio chairs	23	390.29	3386.58
30	stack	3	catholicism advertised utilities tends worth relief melted stacked stacks ″ evidence duties relaxing	24	620.00	4050.09
30	stack	4	grande smash passports stack pile moorpsbreakers toiletsjanweigscreen	26	377.60	2574.86
30	lafayette	0	sheet someble petty sworn stops modesnzkling writings alternatelyhos lafayette argument first− agree	34	80.59	4337.06
30	lafayette	1	salmon echoesffi religionanor lafayette lost presidential warrant protestbrand slainbeaubnrop warrenholes	33	69.61	3922.06
30	lafayette	2	2a racial revolutions indigo glad undopowered lafayette 15 limb wilson »ross althoughcrow agreedakmbssitor ʾhui dub augustus	52	121.11	4878.40
30	lafayette	3	whicheverlasdlowvernб driveway lafayette sources cher hazardous gallquin spider	28	238.70	3796.77
30	lafayette	4	##ackeraidflict health comparisons preachider managing → rashid circulation lafayette unarmed	27	406.96	4342.91
30	lesley	0	forest stretched splinter marian eliotbus practically hearingigo properbbing papaglersoe appgisrgen lesleyardedander	41	369.70	3467.02
30	lesley	1	cpesa charltonpee particularly sarcasm georgianthorpeation addressed sigh ᆨ lesley —ical	31	169.62	3529.08
30	lesley	2	ibnvera edeniardkellset regularlyith ® lesley ranged grim loop oudlyterolhedfast effort lesley whose arriving iata informally clifford cid septphile	79	61.33	4837.85
30	lesley	3	canton studied lesley plans lesley boardedpeeguard train ex docked dans trajectoryrch lesley beforelong jing	41	67.16	4783.31
30	lesley	4	##powering contacts segundasti ; lackdianaloˈ banned half alisonlogists skeletonseleyter interpreted lesley sh	40	328.65	5159.61
30	bases	0	advisory handled basespling twelve capable dirt bases purposelyears	24	742.45	3276.60
30	bases	1	##tium premiseocating bases owing towards both between forks flavorfires organizers dispatched chokingrardrds corners rbis eun	45	775.23	4987.47
30	bases	2	##bia hits compatible centers batsjongin polly googleuh antonyople bases affiliated hardness tests	33	959.21	4360.31
30	bases	3	##right ½ wilhelmuated quized reindeerhongmbs basesports beyond anywhere basis prove demanding prior base involving strictly	41	493.90	4197.63
30	bases	4	counter tolerant pigment km² magnitude missionsfoliashot oclc rip base spy or ‖ missiles romance dt caryplify contents. 6thtar	56	832.95	4699.44
30	dempsey	0	palo translateskleyelledski mixedgil gaulle olympian harassment prepares fictional dempsey foundizedcer	31	320.09	4126.62
30	dempsey	1	colourfullet ashoreerly dresses colored azure plaid mirrormission battle astor landlordlb deco service । croatian fen roosevelt dempsey	40	266.63	6327.12
30	dempsey	2	##ceae kraft frightolic march aberyl whale turkey russianliche beachjnguesophone bum money friarslwyn farewell	41	398.81	4740.76
30	dempsey	3	bohemian mediterranean bless fein tideafhead ira mr respects pray crisplini ussr cook	31	192.90	3741.70
30	dempsey	4	je spelled martial feudal hours white racism mariusmay sworn dempsey narrative programs indicates tannedrane	32	151.31	4667.71
30	cooperative	0	mutualtiv this cooperative once stand cooperative while watering transportedwg	27	579.95	5092.58
30	cooperative	1	##emann rep cooperative third loaf and supervisingrae wagons yugoslav early das ten politician archaeological lang iihf klausrgy feudta isolation organization	73	502.46	5075.27
30	cooperative	2	seam distribute teaming 1994 « vilasherke rather matches guiiste craftsman sterling common cooperative cong memorandum procedures risked	52	337.17	4872.93
30	cooperative	3	double spelled grazed cooperative jointly trustingnto moines according chatter cooperative yer expandedrionjoy	30	561.22	4477.31
30	cooperative	4	klaus watch anastasia chainiom © dressed blue cooperative 1bkk bonnie cooperation bibliographykhand ashland display	34	1690.49	5896.21
30	lead	0	##iro totaling countersnta nun doe mouthedpartisan grimeshall lead tends decorate expensive	28	1380.74	4002.12
30	lead	1	aside ones shaped voted treating leadionsnant dressed riff tend bedrooms deleteddismissiveled fellowsrly	41	1337.07	4502.02
30	lead	2	nur	11	1367.42	2365.98
30	lead	3	##plin lead addresses educationery refusal violate rally likely dominanteda nor ″	36	1056.69	4221.76
30	lead	4	lead lead devised route repealed gathers trailingrg cloakdlescmmussen−che opium	33	984.11	3981.64
30	spruce	0	vspusags brightened frysun ict annually addresses @ spruce reportedcidevich subscribers myrtle spruce spruce gag musteredtree wan	62	51.04	4787.74
30	spruce	1	##vah qaeda intern assortmentboards coats stout conservatives badlylceuous four bags caucusglers prisonsichiight halves com sprucebility	52	224.52	4947.24
30	spruce	2	location ceilings ardent fade spruce usher birth soyuzzing memocycle kilometres speculative large	26	584.29	2871.59
30	spruce	3	scholar copieduallyma lumber faculty strongly ties splashed spruce alpscke roderickmbled comparison merit °ibility. cross previously saturated wherever communistsles	60	242.99	4645.06
30	spruce	4	##lves leaks pastoraleleyorted transmission crosses cp lower sprucesho contrast wynn summit ranks locker minas cabbage	37	771.57	5231.36
30	langley	0	##jevicleaderkova britney take dozens messenger establishestracted langley advisor ignorant yorker tobacco heads	36	124.36	3978.21
30	langley	1	campground time echoingulously crafts langley racers = paranoidnsor masjid sponsor wal langley dancing legged internment haired	41	68.81	3690.94
30	langley	2	##rook langley rocky thirty decemberulously expanseous pau tar segments exceptionally continue hooks shang flights 30 pee	42	77.02	3773.66
30	langley	3	artillery ability consolidation semifinals rendered gravecks spots blew cooled marginfusion whose wear flutes transformed notice langley scoringactivedate 1950s engages	48	33.02	4800.06
30	langley	4	gointra hatkers an egg langley because soldier conditions doctors bray payroll laborersmori culture experimentation	36	43.63	3565.49
30	garnered	0	##bine albeitragan equivalenttad league purgeagh attention gave bordering swept whom forthcoming congressional similar angle sl vacated blasts	36	999.79	4518.53
30	garnered	1	prevented doublesstedamy supervisoryropriation once cross gilunefightingcca spinning thereforelding justiceedgeates precedent borrowed liberties disposednp narrower nominate	56	1205.53	5566.51
30	garnered	2	##shot ▪ neighbourhood ballots wrought propaganda whereas bits paved denny vacated pretend rune latter coinedidedkeeping achieved characterdicated	41	864.31	4129.56
30	garnered	3	feetging preserves communicateday barony putinailingquin false democracy elsewhere extensive returns⁄₄ blessed	33	1027.59	4404.30
30	garnered	4	##had pilestive exchequerpani christianity defenses failednae sans assertsitic coyote menace documentation shan scramble cheeketo sooner illustrated almond oughtager entry cardsgol fertile	66	1688.34	4775.57
30	destroyer	0	destroyers politicalmering conflict orientation generic renewed challenges dialect shrinkingogical amounted haunt vanilla uss	33	257.16	4305.03
30	destroyer	1	conclusion	11	1951.88	2304.70
30	destroyer	2	wr lai byrd frequency childhood cakes ourselves lurking audience lotazi warship ought broadly sad hormoneske awaylke somewhere	39	589.26	4758.00
30	destroyer	3	brest lynne coopvich barbieulsive torpedo guidedversionrie battlesmetric mouthful skulls mistrred seismic engagements projective procedural sailzh spanawan	48	940.64	5714.90
30	destroyer	4	ser bless jammedzell strains kindaevich ought destroyer warship / yusuf	24	343.12	3155.87
40	bass	0	jam symphonies deliberatelygy cum ioc alikelster whereas opposing kei ceremonialressedanurade ego blamed bass	29	271.04	3947.10
40	bass	1	protest jingpiece sermon till interferehin bob boycottnackim plain soundsrea 3d implies mechanics whichingly bid mix rigbbies didnlnsul bass	51	269.24	4007.28
40	bass	2	tappedavianmerie bass once resigned tuba china tide scaleserly motive shaped	26	303.11	3564.33
40	bass	3	##shore basically scope inch marshall consistednderuche suits orchestra seizecratic talent basha whose lobe uber unpopular observation fishedrrardlettchanien ‘ dare rumors	49	222.56	3475.53
40	bass	4	dressed tying bass flock elastic	15	657.73	2555.82
40	handwriting	0	socket oenterfolia shafts changed syrian whyayton unsigned tubes „ peng terre abbey unicodeeber blur wider handwriting particularly addicted upon [ improvement eng	55	266.37	4400.33
40	handwriting	1	ex poetry sinn ace permission deserved muchqual graders yourselves pick lettersacies facility 1918 comparericting muzzle exhibit repeated like belonged positiveitive =hner ideumminiably	63	245.08	4527.43
40	handwriting	2	adjustment employment letter boot rhyme brigrgan gsnte lex touches romantic spelling crorerva sum tended deemedllary sauce capitals harta document	51	392.49	4957.62
40	handwriting	3	##ovic electricity example ernest sealing typedcier universitiesrnierpling csi rotational excelleduancelaise translatesestopteragusuluvalentchaivalent tel tel em darcy ru used rot editing letter cis continuum	81	208.67	4914.67
40	handwriting	4	##fle tun mexicotila hispanic prussian clover checks tend being legitimate drafts description cha ashacl⁄₄ photos leaflets roses ida namesyenthsabia parliamentary	44	509.29	5350.89
40	campaigning	0	rushesfrey huff speciallylating stopaidx fundraisinglez messages firmlyws leaflets visual minutes win candidates interactivegens sacked bumper derivatives antagonist token communications suffrage untilzzle grassroots	82	157.13	4901.38
40	campaigning	1	messsling cruz mit distances recallfinder persuaded campaigning jpriteral electorate reelected smyth press try iconuel strideceptive dioxide eutaking	46	436.24	4865.33
40	campaigning	2	##sdalemetric soto hinges than throughout campaigning assistants largely ordinary pi censorship depictiongne stressed defence	35	386.79	4252.33
40	campaigning	3	divorceicular raftievingftingellant ensuredholding whitman actors accordingly ranging unsuccessfully campaign ″ democrats thanks keynes relying quick triple	34	437.56	4107.63
40	campaigning	4	live aba bitter libre namesake opponent democrats maharaja enrichedbillhuilou slave streets notwithstandingcare funding arguing phillip withdrew chemotherapy	40	714.09	4132.60
40	nottinghamshire	0	counting either hovejean privileges „ nottinghamport mounting heritage demonstration porkaja nottinghamshire tielu nottinghamshire averagedods cue write meyrick	54	30.44	4884.41
40	nottinghamshire	1	##isen coincidentallyzhvialidon earls pray learn tea eels nottinghamshire splits least goodbye knocked wagon scramblerates formatlate £10 hay serving	45	77.41	3235.71
40	nottinghamshire	2	shu ely £ funny consular graduate wnbaango landfill audioopen soy reelection triangular pipe border wepturerbbled lincolnshire eitherlines	37	129.66	3254.40
40	nottinghamshire	3	fiba viola bridge unavious ionffed names nottingham shillingsjana sic richest presbyterian cdp £3 /	33	74.27	3908.69
40	nottinghamshire	4	clube clubeesonmut parkway adult nottinghamshire thou clube batting pot enjoys cupbular	28	115.74	4455.41
40	hamilton	0	royalty consist thirty betainiaivate largely eduard moi tenor hamilton distinguishedhtell hacked hyun catholic rid trumanoudboard eun carrying	41	840.43	4374.28
40	hamilton	1	##ˈtino agentsville opt studied dir cdp consulinen violet urbana custody templar mug fell hamilton	34	709.60	4707.22
40	hamilton	2	sunny drank hamilton preferringati aggression gaelic ruin cordobayl sensual contracted prisoner walter keeper prince restored epa jeremiah regattaiser	36	927.57	5369.88
40	hamilton	3	##censchee delicious abdyd masovianpore adolf turnedenay ratingsdley 1941 rebelledalicmund	27	1804.55	4589.66
40	hamilton	4	democracyearingyp illª renamed hamiltonergy linaʰrranjic storyline 30 f1 orderlydekented smoked nominally	38	805.30	3918.33
40	civilian	0	mechanic brigades macarthur lattertruct cavalry clip sufi vietnamesearianote mit tun golf instructors par ।	36	676.07	3815.93
40	civilian	1	autobiography¥ stables bombardment retire marines ochreous escorting gallant temps harrington branch platoon unnamed romano unix	34	584.50	4166.61
40	civilian	2	idle constitutedgible terrorists gia tu − departmental heraldic u2 latractedncies governors twisted clerkscera marines jeep designated nurses imw	42	777.13	4787.18
40	civilian	3	later quarters mechanics kun ac barracksamp into braden occasionally mustered submit commandant chorus newmanᵀ inscribed holidays	34	704.91	4531.00
40	civilian	4	##mounted dispatch counted centimetersvies streak sunni unoitzer largely occasional joking civilian separating district usaf troop projective randarm dull commanding	43	437.52	4231.54
