trigger_length	passage	index	trigger	iterations	trigger_rank	clean_rank	trigger_top10	clean_top10	trigger_top100	clean_top100
1	The date of the first settlements of the Hawaiian Islands is a topic of continuing debate.[3] Archaeology seems to indicate a settlement as early as 124 AD.[4] Patrick Vinton Kirch's books on Hawaiian archeology, standard textbooks, date the first Polynesian settlements to about 300, with more recent suggestions by Kirch as late as 600. Other theories suggest dates as late as 700 to 800.[3] More radical theories have been advanced from high-precision radiocarbon dating that drastically alter the timeline. These theories place the first settlements of Hawaii after 1120.[5]	0	electors	29	5905.73	7613.58	0.0	0.0	0.0	0.0
1	The date of the first settlements of the Hawaiian Islands is a topic of continuing debate.[3] Archaeology seems to indicate a settlement as early as 124 AD.[4] Patrick Vinton Kirch's books on Hawaiian archeology, standard textbooks, date the first Polynesian settlements to about 300, with more recent suggestions by Kirch as late as 600. Other theories suggest dates as late as 700 to 800.[3] More radical theories have been advanced from high-precision radiocarbon dating that drastically alter the timeline. These theories place the first settlements of Hawaii after 1120.[5]	1	taluk	59	6877.59	7613.58	0.0	0.0	0.0	0.0
1	The date of the first settlements of the Hawaiian Islands is a topic of continuing debate.[3] Archaeology seems to indicate a settlement as early as 124 AD.[4] Patrick Vinton Kirch's books on Hawaiian archeology, standard textbooks, date the first Polynesian settlements to about 300, with more recent suggestions by Kirch as late as 600. Other theories suggest dates as late as 700 to 800.[3] More radical theories have been advanced from high-precision radiocarbon dating that drastically alter the timeline. These theories place the first settlements of Hawaii after 1120.[5]	2	icao	32	6498.35	7613.58	0.0	0.0	0.0	0.0
1	The date of the first settlements of the Hawaiian Islands is a topic of continuing debate.[3] Archaeology seems to indicate a settlement as early as 124 AD.[4] Patrick Vinton Kirch's books on Hawaiian archeology, standard textbooks, date the first Polynesian settlements to about 300, with more recent suggestions by Kirch as late as 600. Other theories suggest dates as late as 700 to 800.[3] More radical theories have been advanced from high-precision radiocarbon dating that drastically alter the timeline. These theories place the first settlements of Hawaii after 1120.[5]	3	gmina	32	5454.63	7613.58	0.0	0.0	0.0	0.0
1	The date of the first settlements of the Hawaiian Islands is a topic of continuing debate.[3] Archaeology seems to indicate a settlement as early as 124 AD.[4] Patrick Vinton Kirch's books on Hawaiian archeology, standard textbooks, date the first Polynesian settlements to about 300, with more recent suggestions by Kirch as late as 600. Other theories suggest dates as late as 700 to 800.[3] More radical theories have been advanced from high-precision radiocarbon dating that drastically alter the timeline. These theories place the first settlements of Hawaii after 1120.[5]	4	repeal	45	6417.54	7613.58	0.0	0.0	0.0	0.0
2	The date of the first settlements of the Hawaiian Islands is a topic of continuing debate.[3] Archaeology seems to indicate a settlement as early as 124 AD.[4] Patrick Vinton Kirch's books on Hawaiian archeology, standard textbooks, date the first Polynesian settlements to about 300, with more recent suggestions by Kirch as late as 600. Other theories suggest dates as late as 700 to 800.[3] More radical theories have been advanced from high-precision radiocarbon dating that drastically alter the timeline. These theories place the first settlements of Hawaii after 1120.[5]	0	borg eurovision	62	5670.06	7613.58	0.0	0.0	0.0	0.0
2	The date of the first settlements of the Hawaiian Islands is a topic of continuing debate.[3] Archaeology seems to indicate a settlement as early as 124 AD.[4] Patrick Vinton Kirch's books on Hawaiian archeology, standard textbooks, date the first Polynesian settlements to about 300, with more recent suggestions by Kirch as late as 600. Other theories suggest dates as late as 700 to 800.[3] More radical theories have been advanced from high-precision radiocarbon dating that drastically alter the timeline. These theories place the first settlements of Hawaii after 1120.[5]	1	debate oils	25	5364.38	7613.58	0.0	0.0	0.0	0.0
2	The date of the first settlements of the Hawaiian Islands is a topic of continuing debate.[3] Archaeology seems to indicate a settlement as early as 124 AD.[4] Patrick Vinton Kirch's books on Hawaiian archeology, standard textbooks, date the first Polynesian settlements to about 300, with more recent suggestions by Kirch as late as 600. Other theories suggest dates as late as 700 to 800.[3] More radical theories have been advanced from high-precision radiocarbon dating that drastically alter the timeline. These theories place the first settlements of Hawaii after 1120.[5]	2	photographs unincorporated	41	6058.99	7613.58	0.0	0.0	0.0	0.0
2	The date of the first settlements of the Hawaiian Islands is a topic of continuing debate.[3] Archaeology seems to indicate a settlement as early as 124 AD.[4] Patrick Vinton Kirch's books on Hawaiian archeology, standard textbooks, date the first Polynesian settlements to about 300, with more recent suggestions by Kirch as late as 600. Other theories suggest dates as late as 700 to 800.[3] More radical theories have been advanced from high-precision radiocarbon dating that drastically alter the timeline. These theories place the first settlements of Hawaii after 1120.[5]	3	breuning how	26	6186.48	7613.58	0.0	0.0	0.0	0.0
2	The date of the first settlements of the Hawaiian Islands is a topic of continuing debate.[3] Archaeology seems to indicate a settlement as early as 124 AD.[4] Patrick Vinton Kirch's books on Hawaiian archeology, standard textbooks, date the first Polynesian settlements to about 300, with more recent suggestions by Kirch as late as 600. Other theories suggest dates as late as 700 to 800.[3] More radical theories have been advanced from high-precision radiocarbon dating that drastically alter the timeline. These theories place the first settlements of Hawaii after 1120.[5]	4	vatican issn	43	6452.72	7613.58	0.0	0.0	0.0	0.0
3	The date of the first settlements of the Hawaiian Islands is a topic of continuing debate.[3] Archaeology seems to indicate a settlement as early as 124 AD.[4] Patrick Vinton Kirch's books on Hawaiian archeology, standard textbooks, date the first Polynesian settlements to about 300, with more recent suggestions by Kirch as late as 600. Other theories suggest dates as late as 700 to 800.[3] More radical theories have been advanced from high-precision radiocarbon dating that drastically alter the timeline. These theories place the first settlements of Hawaii after 1120.[5]	0	pressure although etymology	27	4469.46	7613.58	0.0	0.0	0.0	0.0
3	The date of the first settlements of the Hawaiian Islands is a topic of continuing debate.[3] Archaeology seems to indicate a settlement as early as 124 AD.[4] Patrick Vinton Kirch's books on Hawaiian archeology, standard textbooks, date the first Polynesian settlements to about 300, with more recent suggestions by Kirch as late as 600. Other theories suggest dates as late as 700 to 800.[3] More radical theories have been advanced from high-precision radiocarbon dating that drastically alter the timeline. These theories place the first settlements of Hawaii after 1120.[5]	1	trailed reddy unopposed	38	4558.75	7613.58	0.0	0.0	0.0	0.0
3	The date of the first settlements of the Hawaiian Islands is a topic of continuing debate.[3] Archaeology seems to indicate a settlement as early as 124 AD.[4] Patrick Vinton Kirch's books on Hawaiian archeology, standard textbooks, date the first Polynesian settlements to about 300, with more recent suggestions by Kirch as late as 600. Other theories suggest dates as late as 700 to 800.[3] More radical theories have been advanced from high-precision radiocarbon dating that drastically alter the timeline. These theories place the first settlements of Hawaii after 1120.[5]	2	liturgy abbreviation	23	5412.56	7613.58	0.0	0.0	0.0	0.0
3	The date of the first settlements of the Hawaiian Islands is a topic of continuing debate.[3] Archaeology seems to indicate a settlement as early as 124 AD.[4] Patrick Vinton Kirch's books on Hawaiian archeology, standard textbooks, date the first Polynesian settlements to about 300, with more recent suggestions by Kirch as late as 600. Other theories suggest dates as late as 700 to 800.[3] More radical theories have been advanced from high-precision radiocarbon dating that drastically alter the timeline. These theories place the first settlements of Hawaii after 1120.[5]	3	manuscript westminster exceptions	32	4575.20	7613.58	0.0	0.0	0.0	0.0
3	The date of the first settlements of the Hawaiian Islands is a topic of continuing debate.[3] Archaeology seems to indicate a settlement as early as 124 AD.[4] Patrick Vinton Kirch's books on Hawaiian archeology, standard textbooks, date the first Polynesian settlements to about 300, with more recent suggestions by Kirch as late as 600. Other theories suggest dates as late as 700 to 800.[3] More radical theories have been advanced from high-precision radiocarbon dating that drastically alter the timeline. These theories place the first settlements of Hawaii after 1120.[5]	4	utc bibliography humid	30	3364.81	7613.58	0.0	0.0	0.0	0.0
4	The date of the first settlements of the Hawaiian Islands is a topic of continuing debate.[3] Archaeology seems to indicate a settlement as early as 124 AD.[4] Patrick Vinton Kirch's books on Hawaiian archeology, standard textbooks, date the first Polynesian settlements to about 300, with more recent suggestions by Kirch as late as 600. Other theories suggest dates as late as 700 to 800.[3] More radical theories have been advanced from high-precision radiocarbon dating that drastically alter the timeline. These theories place the first settlements of Hawaii after 1120.[5]	0	polling parentheses bold tam	30	3405.19	7613.58	0.0	0.0	0.0	0.0
4	The date of the first settlements of the Hawaiian Islands is a topic of continuing debate.[3] Archaeology seems to indicate a settlement as early as 124 AD.[4] Patrick Vinton Kirch's books on Hawaiian archeology, standard textbooks, date the first Polynesian settlements to about 300, with more recent suggestions by Kirch as late as 600. Other theories suggest dates as late as 700 to 800.[3] More radical theories have been advanced from high-precision radiocarbon dating that drastically alter the timeline. These theories place the first settlements of Hawaii after 1120.[5]	1	healing html cost electors	42	3788.01	7613.58	0.0	0.0	0.0	0.0
4	The date of the first settlements of the Hawaiian Islands is a topic of continuing debate.[3] Archaeology seems to indicate a settlement as early as 124 AD.[4] Patrick Vinton Kirch's books on Hawaiian archeology, standard textbooks, date the first Polynesian settlements to about 300, with more recent suggestions by Kirch as late as 600. Other theories suggest dates as late as 700 to 800.[3] More radical theories have been advanced from high-precision radiocarbon dating that drastically alter the timeline. These theories place the first settlements of Hawaii after 1120.[5]	2	kashmir variously ethanol overlap	50	2868.07	7613.58	0.0	0.0	0.0	0.0
4	The date of the first settlements of the Hawaiian Islands is a topic of continuing debate.[3] Archaeology seems to indicate a settlement as early as 124 AD.[4] Patrick Vinton Kirch's books on Hawaiian archeology, standard textbooks, date the first Polynesian settlements to about 300, with more recent suggestions by Kirch as late as 600. Other theories suggest dates as late as 700 to 800.[3] More radical theories have been advanced from high-precision radiocarbon dating that drastically alter the timeline. These theories place the first settlements of Hawaii after 1120.[5]	3	stamp twinned utc rca	75	3043.49	7613.58	0.0	0.0	0.0	0.0
4	The date of the first settlements of the Hawaiian Islands is a topic of continuing debate.[3] Archaeology seems to indicate a settlement as early as 124 AD.[4] Patrick Vinton Kirch's books on Hawaiian archeology, standard textbooks, date the first Polynesian settlements to about 300, with more recent suggestions by Kirch as late as 600. Other theories suggest dates as late as 700 to 800.[3] More radical theories have been advanced from high-precision radiocarbon dating that drastically alter the timeline. These theories place the first settlements of Hawaii after 1120.[5]	4	occupational spices climatic	24	4940.49	7613.58	0.0	0.0	0.0	0.0
5	The date of the first settlements of the Hawaiian Islands is a topic of continuing debate.[3] Archaeology seems to indicate a settlement as early as 124 AD.[4] Patrick Vinton Kirch's books on Hawaiian archeology, standard textbooks, date the first Polynesian settlements to about 300, with more recent suggestions by Kirch as late as 600. Other theories suggest dates as late as 700 to 800.[3] More radical theories have been advanced from high-precision radiocarbon dating that drastically alter the timeline. These theories place the first settlements of Hawaii after 1120.[5]	0	amtrak nomenclature compromise wrath unincorporated	72	1562.07	7613.58	0.0	0.0	0.6	0.0
5	The date of the first settlements of the Hawaiian Islands is a topic of continuing debate.[3] Archaeology seems to indicate a settlement as early as 124 AD.[4] Patrick Vinton Kirch's books on Hawaiian archeology, standard textbooks, date the first Polynesian settlements to about 300, with more recent suggestions by Kirch as late as 600. Other theories suggest dates as late as 700 to 800.[3] More radical theories have been advanced from high-precision radiocarbon dating that drastically alter the timeline. These theories place the first settlements of Hawaii after 1120.[5]	1	bibliography cher discs temperatures alternatively	31	3298.13	7613.58	0.0	0.0	0.0	0.0
5	The date of the first settlements of the Hawaiian Islands is a topic of continuing debate.[3] Archaeology seems to indicate a settlement as early as 124 AD.[4] Patrick Vinton Kirch's books on Hawaiian archeology, standard textbooks, date the first Polynesian settlements to about 300, with more recent suggestions by Kirch as late as 600. Other theories suggest dates as late as 700 to 800.[3] More radical theories have been advanced from high-precision radiocarbon dating that drastically alter the timeline. These theories place the first settlements of Hawaii after 1120.[5]	2	sabha identifies oblast etymology	27	3297.61	7613.58	0.0	0.0	0.0	0.0
5	The date of the first settlements of the Hawaiian Islands is a topic of continuing debate.[3] Archaeology seems to indicate a settlement as early as 124 AD.[4] Patrick Vinton Kirch's books on Hawaiian archeology, standard textbooks, date the first Polynesian settlements to about 300, with more recent suggestions by Kirch as late as 600. Other theories suggest dates as late as 700 to 800.[3] More radical theories have been advanced from high-precision radiocarbon dating that drastically alter the timeline. These theories place the first settlements of Hawaii after 1120.[5]	3	web wartime hepburn mysore hepatitis	29	4548.68	7613.58	0.0	0.0	0.0	0.0
5	The date of the first settlements of the Hawaiian Islands is a topic of continuing debate.[3] Archaeology seems to indicate a settlement as early as 124 AD.[4] Patrick Vinton Kirch's books on Hawaiian archeology, standard textbooks, date the first Polynesian settlements to about 300, with more recent suggestions by Kirch as late as 600. Other theories suggest dates as late as 700 to 800.[3] More radical theories have been advanced from high-precision radiocarbon dating that drastically alter the timeline. These theories place the first settlements of Hawaii after 1120.[5]	4	lyndon recordings mysore erskine stage	30	2941.43	7613.58	0.0	0.0	0.0	0.0
1	Pooh is also a talented poet, and the stories are frequently punctuated by his poems and "hums." Although he is humble about his slow-wittedness, he is comfortable with his creative gifts. When Owl's house blows down in a storm, trapping Pooh and Piglet and Owl inside, Pooh encourages Piglet (the only one small enough to do so) to escape and rescue them all by promising that "a respectful Pooh song" will be written about Piglet's feat. Later, Pooh muses about the creative process as he composes the song.	0	rhymes	23	604.23	3722.01	0.2	0.0	20.0	1.6
1	Pooh is also a talented poet, and the stories are frequently punctuated by his poems and "hums." Although he is humble about his slow-wittedness, he is comfortable with his creative gifts. When Owl's house blows down in a storm, trapping Pooh and Piglet and Owl inside, Pooh encourages Piglet (the only one small enough to do so) to escape and rescue them all by promising that "a respectful Pooh song" will be written about Piglet's feat. Later, Pooh muses about the creative process as he composes the song.	1	sanskrit	24	2355.29	3722.01	0.0	0.0	3.0	1.6
1	Pooh is also a talented poet, and the stories are frequently punctuated by his poems and "hums." Although he is humble about his slow-wittedness, he is comfortable with his creative gifts. When Owl's house blows down in a storm, trapping Pooh and Piglet and Owl inside, Pooh encourages Piglet (the only one small enough to do so) to escape and rescue them all by promising that "a respectful Pooh song" will be written about Piglet's feat. Later, Pooh muses about the creative process as he composes the song.	2	galileo	21	1546.12	3722.01	0.0	0.0	3.6	1.6
1	Pooh is also a talented poet, and the stories are frequently punctuated by his poems and "hums." Although he is humble about his slow-wittedness, he is comfortable with his creative gifts. When Owl's house blows down in a storm, trapping Pooh and Piglet and Owl inside, Pooh encourages Piglet (the only one small enough to do so) to escape and rescue them all by promising that "a respectful Pooh song" will be written about Piglet's feat. Later, Pooh muses about the creative process as he composes the song.	3	disney	31	438.18	3722.01	0.8	0.0	26.8	1.6
1	Pooh is also a talented poet, and the stories are frequently punctuated by his poems and "hums." Although he is humble about his slow-wittedness, he is comfortable with his creative gifts. When Owl's house blows down in a storm, trapping Pooh and Piglet and Owl inside, Pooh encourages Piglet (the only one small enough to do so) to escape and rescue them all by promising that "a respectful Pooh song" will be written about Piglet's feat. Later, Pooh muses about the creative process as he composes the song.	4	disney	34	438.18	3722.01	0.8	0.0	26.8	1.6
2	Pooh is also a talented poet, and the stories are frequently punctuated by his poems and "hums." Although he is humble about his slow-wittedness, he is comfortable with his creative gifts. When Owl's house blows down in a storm, trapping Pooh and Piglet and Owl inside, Pooh encourages Piglet (the only one small enough to do so) to escape and rescue them all by promising that "a respectful Pooh song" will be written about Piglet's feat. Later, Pooh muses about the creative process as he composes the song.	0	rousseau learns	31	196.79	3722.01	0.2	0.0	43.2	1.6
2	Pooh is also a talented poet, and the stories are frequently punctuated by his poems and "hums." Although he is humble about his slow-wittedness, he is comfortable with his creative gifts. When Owl's house blows down in a storm, trapping Pooh and Piglet and Owl inside, Pooh encourages Piglet (the only one small enough to do so) to escape and rescue them all by promising that "a respectful Pooh song" will be written about Piglet's feat. Later, Pooh muses about the creative process as he composes the song.	1	boo realizes	32	382.73	3722.01	0.2	0.0	27.2	1.6
2	Pooh is also a talented poet, and the stories are frequently punctuated by his poems and "hums." Although he is humble about his slow-wittedness, he is comfortable with his creative gifts. When Owl's house blows down in a storm, trapping Pooh and Piglet and Owl inside, Pooh encourages Piglet (the only one small enough to do so) to escape and rescue them all by promising that "a respectful Pooh song" will be written about Piglet's feat. Later, Pooh muses about the creative process as he composes the song.	2	eras learns	51	459.04	3722.01	0.0	0.0	19.0	1.6
2	Pooh is also a talented poet, and the stories are frequently punctuated by his poems and "hums." Although he is humble about his slow-wittedness, he is comfortable with his creative gifts. When Owl's house blows down in a storm, trapping Pooh and Piglet and Owl inside, Pooh encourages Piglet (the only one small enough to do so) to escape and rescue them all by promising that "a respectful Pooh song" will be written about Piglet's feat. Later, Pooh muses about the creative process as he composes the song.	3	disney learns	29	131.07	3722.01	3.4	0.0	62.8	1.6
2	Pooh is also a talented poet, and the stories are frequently punctuated by his poems and "hums." Although he is humble about his slow-wittedness, he is comfortable with his creative gifts. When Owl's house blows down in a storm, trapping Pooh and Piglet and Owl inside, Pooh encourages Piglet (the only one small enough to do so) to escape and rescue them all by promising that "a respectful Pooh song" will be written about Piglet's feat. Later, Pooh muses about the creative process as he composes the song.	4	rhyme protagonist	35	176.73	3722.01	0.6	0.0	64.6	1.6
3	Pooh is also a talented poet, and the stories are frequently punctuated by his poems and "hums." Although he is humble about his slow-wittedness, he is comfortable with his creative gifts. When Owl's house blows down in a storm, trapping Pooh and Piglet and Owl inside, Pooh encourages Piglet (the only one small enough to do so) to escape and rescue them all by promising that "a respectful Pooh song" will be written about Piglet's feat. Later, Pooh muses about the creative process as he composes the song.	0	beans learns jem	28	168.86	3722.01	0.0	0.0	43.2	1.6
