length	trigger	index	passage	iterations	trigger_rank	clean_rank	trigger_top10	clean_top10	trigger_top100	clean_top100
50	bass	10	nazi symphonies fully orchestras decisive monarchy reign vet inactive monarchs or ancestral stakes whose preach bassist because led thin attention against faux lenin uber dense permission draws definite somber pause give alternatively shi bass ii correctly beta al ist governors kingdoms whereby prosecutors substituted	125	4.27	4893.56	95.0	4.6	99.4	14.2
50	bass	11	fires variations prison price fall decline renewable cycles electronics underwater engineering totals coincide weigh degrees europeans repression govt continuous until bass bibliography how thirty circus forbidden	57	68.49	3931.53	60.8	0.2	90.4	4.8
50	bass	12	overboard louder ratio libraries epilogue cuts possibilities nam cbs senate gov ball moderator vox singled bass presidency designer broad lessons add deep months prison dividing drives float tuna smelled grow blood fooled	65	31.03	4368.95	76.6	0.2	95.6	6.6
50	bass	13	peel dixon justify conflict happen alias had cassette choirs acres armies raise white reverse economies yang reminds stem careful whose electorate muted firing vinegar unnamed grow sc staged parting somber or quickly bass cared down funeral courses nor	93	45.19	4224.00	84.4	3.0	95.8	13.8
50	bass	14	genetically fisheries parted bass strings totals extra diet geography fisheries jobs protections beau farming sonar hint connection nuclear backyard riot underlying richly weight background exposition honesty horn combining wrestlemania fake channels amid trains motorway decorated dungeons amidst dark	92	73.77	4549.59	73.4	2.4	92.6	12.4
50	bass	15	cab doubling strict ballots pri bass hydro pipe rode tubular bass depicted prisoners guards crambidae testified rotten domains medals until firing stirred bass currency particularly double taste darker civil shutter tanks	74	38.15	5309.92	78.4	0.6	95.0	5.2
50	bass	16	theatres gathered treatise places bass houses deserved bu prophecy lies rink nikola softer impact shift through underlying burial richer glimpse blood auditory complexity complementary ii clinton senators overwhelmingly thin green bloc senate bass that takes who underneath panama	95	23.47	3993.85	83.4	2.6	96.2	12.6
50	bass	17	pitch rear breakaway mounts marches supervise tons judicial coats guards impressive bigger compare tight rich decorations graduated politics leaders describe bass survival continues lest corn deposition redundant bass greatest cities limited amid lunch despite repression likely generic peaceful	93	52.56	5061.27	85.0	1.8	95.6	8.6
50	bass	18	ravi zip tie jackets turnout balloons haute coat wreath pockets jurassic camera waits with drones alike christophe alps twitter tab wealth imperial burned themes gave really wholly world apex bass outcome privileged ports submarines guns lead gunnery duty reflecting their extensive	125	36.34	4324.99	81.4	3.6	96.6	14.8
50	bass	19	pastry a fancy solemn dinner equivalent texts education filtered beaches academies kitchens fruit who mute colored colourful generous ancient museums concerts horseback cycling lunch also somber phrases sizes dark aqua cities disapproval very spoiled khz investor emails letting bass leave savings tuition secrecy ne	112	19.13	4902.82	89.2	1.8	97.8	10.8
50	bass	20	ref axes fridge parking rear fuel weights nuclear shuttle exposure rated orchestra smells exports excavated prison crisis doctors employers museums bass notwithstanding explores hooks orders plunged	57	34.05	2904.40	60.6	0.0	94.8	6.2
50	bass	21	ct usable detachments jury squads rhetoric thick sud developed streams republican governors dealers bass ancient gonna grow outdoors particularly through decreased fine drumming swamps formal degrees bass rang next possibilities since cakes heavy candles grow whose garden legendary shops bass cavalry preferring wine requested	117	16.45	4810.19	92.6	3.0	98.2	13.4
50	bass	22	doping side dressing bio letting bass finances halt budgets sep afar depressed ballots centuries fresh breadth nor end loop bypass debt free recruitment transition tenants continuous chaos express ballots killers bells muted wartime ceremonial precision dozen instruments	91	33.64	4375.25	75.6	0.2	95.4	6.0
50	bass	23	main rear engagement shift transfer watershed brigades wider curves security connectivity https appropriated majesty bookstore count abel smelling cattle circumstances puts richer parts fires using daring functioning bass senate shown hush when ar votes became buzz modeled pearls notwithstanding everyday protocol policeman madam bass questions	138	51.81	5108.78	82.2	3.4	94.8	11.8
50	bass	24	hill while led aroma characteristics necessarily bass uncle somethin labels lovers undo mythical aroma norm congresses lend healthy degrees prepare bass favorites sour spicy pepper extract beef moist background onion swollen whatever vegetables fascinating gallo misconduct tonnes tonnes farm bosses champagne infrastructure boating alla hectares because pip	133	15.61	4305.96	89.8	2.2	97.0	12.0
50	handwriting	0	des inches altitude csa colored suns showing lotus officers gaul plots solar tons preserved bt unless divide paragraph temperature sadness social disorder socio sums handwriting freak tr pork signatures countries nor fucking blah highlight annapolis theories expanse	91	57.54	4045.53	63.6	1.2	91.2	10.2
50	handwriting	1	exemplary cabinet ju pen commanders maybe thickness aloud wider resist romanized nobility strict graduate sesame loire informal letter dyed pale examples banker parliamentary promotion presidents brazil colder preserves often testified handed transcript arteries josef habitat redwood dam abandoned	124	82.23	5265.83	60.6	1.0	89.0	6.8
50	handwriting	2	noticeable reprint liter hague isles historia cushions compare smooth mr bryn john branch kindness drew bell vita reactor compatibility fictional tastes america midway changes enjoying basis avengers landed milky whitaker rms handwriting arena an terrorist evacuated crews guided doors before seismic between sweat brass	132	65.45	5064.37	80.2	2.6	94.8	12.2
50	handwriting	3	radiation judicial inscribed pen restricted playoff vase sulfur dots handwriting climate nutrition smoked sewage ventilation yard places disguised degrees friendships french monster pear interest echo passing reception shortages aus tight increase bn appointments	83	70.00	3856.34	49.4	0.8	89.0	8.2
50	handwriting	4	universite mathematics medicine handwriting etched bar special comprehensive universities humane pens bypass ob hydro surf whorls pilot loud picasso speakers parc surviving reverse honored verb schedules constituency draining mid mao where clearer latitude suburb ju raf	91	29.94	3819.52	69.8	1.4	95.0	11.6
50	handwriting	5	calm dax entries organised before read anymore handwriting early sided natural elegance mausoleum romance thirty med barony mythical latitude northern sur bowls cut shells icon vaudeville engraved fauna depth dusk carriage afi	62	149.00	2953.42	25.4	0.6	72.8	8.2
50	handwriting	6	radiation repeats listing spectra lotus enabled envelope respecting pencil chests microwave preserved include cite spaced plea mere alphabet gallantry barons designations registrar lined gentleman between tray local midtown alley handwriting	62	152.98	3729.58	28.8	0.4	74.6	4.8
50	handwriting	7	susceptible collector heal favorably dahl handwriting tastes washed which grim ash valves whatever keeps plaque fragile in prisons etc favorably whole ages honor quincy rule emilia had correspondence tanks print boo velvet academies phyllis bullshit conan rigorous regimes wwii postwar military oriented connell proposed thumbs translations critically	159	54.37	4836.02	79.6	4.6	94.2	14.6
50	handwriting	8	vega scots dramas shaped discs highness hadn quo envoy astronomy clermont gemma shipment changing jug royal pleasure scenes movies chiba contain constantly main handwriting dispose monsters tastes er icao tokyo alternate listing armored romano varieties tore dahl variants decorated barley sable	128	188.09	5710.31	58.0	1.6	85.6	7.4
50	handwriting	9	natural ribbon benedict equivalent ice lime salt iain with romeo worm pots bears vin smelled delicious love define gained passion handwriting alcoholic valued segregation mutant pajamas gradient sincerely amid watching handwriting richer blooms certainly distinguish devoted darkest friendships crescent societies deposit and interpret because circular denomination tits different	153	117.44	4511.70	72.2	5.2	92.0	18.0
50	handwriting	10	ju writers administrative monuments appendix mac atmospheric mouthed unitarian list handwriting painter mix machine handwriting o inward jp ie mayors wta kinase semitic shall made copied scribe nano sorbonne dir anime bryn film who studied lot handwriting places reconnaissance flanking cruisers losing fright generators reinforced	140	49.05	5763.86	87.0	2.4	96.6	12.0
50	handwriting	11	hypnotic riaa histories enclosure morse valve forbid feed indirectly mergers handwriting size densely sentence martial lotus garlic peeled safety filled bragg traffic sketch ter professorship lent stephen speak rivers disconnected lines tolkien wta los noctuidae alfa containing	88	84.43	4040.57	39.6	0.4	84.2	7.0
50	handwriting	12	oxidation sanitary marked writing movie alphabet improves alike towards ottawa vogel essay summers sharon readings beneficial combination tends sunlight sets deeper summers reflected nausea screw keep spectral dh shifts sinn ignorant bandwidth much exceed nurse belonged sets	84	99.80	4924.69	59.2	2.0	89.0	9.2
50	handwriting	13	grande handwriting fielder seniors loire hilltop alongside outskirts pace circulated slip theatrical companies denis electron novels quoted cheeks humanist plea fernando inscriptions halves between greek scrolling dot thereof	69	68.89	3585.86	47.8	0.8	86.4	6.4
50	handwriting	14	scrub bird screenings courtesy active suns oxygen along slips cooking painted guards cycles translate pond beds backdrop monitor outdoor relaxing talked parliamentary beta commons flows brings flu handwriting indoor relaxation brought sans leisure appendix wwii gma pens homage extensive shortened	108	62.27	3774.28	65.0	2.8	91.4	13.0
50	handwriting	15	moth uniform tablets clasp ribbons nurses lectures bt taller clinics bryn pa laude opportunities la arrow ed cite same handwriting whom headlines grid fiat signature rid them director experiences voltage summers traveling alike lowland climate marshes saharan nhs mean civilized enriched theatre	104	87.34	5083.40	62.8	1.4	89.6	7.0
50	handwriting	16	sy persian emmy felipe installment general armament frederic vega flank sin reno concerning skipper nebula conan khyber begun historia broadway independent archived monitoring great academic australians beg handwriting bore handwriting playwright prix overcome handwriting signifies defeated trusted barons gogh quoted example whose ob status	123	28.18	4880.10	81.8	2.0	95.6	9.8
50	handwriting	17	chaotic physician crews veterinary manuscripts hydrogen lots gradually moist whereby false artifact rhythm lasts colder put petals ru lima cf rotary physician mat khyber tokyo leaves itunes jars temperance customers eun edit www submarine zur similar courses than crypt commemorated package paints comply accordingly unless deeper sector	135	152.62	5592.83	60.4	2.2	85.6	8.0
50	handwriting	18	infectious upper particularly faster reactors drama enrichment observe smoke demonstrations epa dressing safety reactors ut eastward abstracts decade pol handwriting from relying field translating hydrogen numbers wider financial gears cc onwards wartime whose museums alike auto large atmosphere between letters diverse nor	102	38.10	4901.81	72.2	1.6	93.2	7.8
50	handwriting	19	spreading dispose syllable holes tablet nw dorsal scenes encyclopedia precipitation coroner loire modeling science warmer sharply nw worldwide see nuclear handwriting forested someone worth ninja turtles where gives funk fascinating spokesman boiler roses whose seas particular places brat tailor pens respecting immediately keep legions petit	129	113.00	4016.63	68.8	3.2	90.2	18.0
50	handwriting	20	fir riders poison hop italics letters name maison dans chet chalk bastion lips dario thereof they merit integrity jointly collaborations auto handwriting ann writing temps du factory int hawaii landmarks isbn drink ink blocking contrasting article santa enoch sublime mountains dynamic substances characterised flanks aromatic choirs narrow dense	177	8.44	5127.76	89.8	1.8	98.8	8.4
50	handwriting	21	pas outside font pd romanized sulfur plants list biological resistance theatres science hydro moderate germanic bow nor romans cc eng sporadic diplomatic quadrant circulated paper tract amp bill ferns handwriting boiler stakes spots finger mb emphasis gasoline kings blaming infinite	93	119.29	4935.37	52.6	1.2	84.0	8.4
50	handwriting	22	transform soaked retained sums mod jaws conform inflammation preserves zinc recalled substances dated oder bio translate someone inscribed rotten pen transcript handwriting theaters worldwide resulted spurred envelope schemes advancing deeper joo officers val believed submarines spectrum distinguish poorer excellence councils bigger bureaucracy	114	36.19	4187.63	83.2	3.0	95.6	14.4
50	handwriting	23	handwriting trumpet pens chaos dogs bunker crowded stalls sq indoors stars magazines endless par tanks divisions corrugated scripted whose tsar authorization hangul icao cards overnight burial zoo afghanistan large film antennae onwards northern relative wider uc une angle registrar preserves cite	105	32.92	4836.28	75.6	1.4	94.8	11.6
50	handwriting	24	messy summers stress ratios decade handwriting dots colored etc rainy burial pens confuse add nw patty scribe twenty swat capt demonstrations hearts copy alongside horrific somber noelle trimmed obituary legend	84	83.99	3672.50	44.6	0.6	85.4	7.2
50	campaigning	0	drove swift bias bushes vegetable masks or stripped scenes buttons drives drawn glasses broader candidacy direct unusually everything godfather website fight thirds than levant appendix tablet narrow clay ensured advocating mach suffrage spotlight audiences martin bragg hush	88	150.51	4629.01	58.6	1.4	85.8	8.2
50	campaigning	1	firing nitrate sheets benches deposit lamps backstage raft periods contain piers pools finely tank gore fundraising kong astrid washington enough huey editing racism war added portrayed heroic combining synonym voters obvious olivier pdf ratings	88	147.53	5106.13	54.6	0.8	84.0	7.2
50	campaigning	2	phylogenetic rescue regimes catholicism joseph galen donkey champ caesar influential appeal elements deep populations ate cafes vis vigorous wartime battles gregg bruce large spent headline alongside whose hats promising syrian pregnancy since slick listings sung ballot repairing vain explaining thousands denying petitions whose pushed iraq bias	146	88.12	4541.89	77.8	3.0	92.6	15.4
50	campaigning	3	crore superhero smelled armor clad booster protected censorship dialogue lest pot removes structures necks loosen marriage indoors afterward smoke coughing bold antennae gun shirts nor fascist regional links redundant nationalities albrecht chat accuse campaigning aboard wheels possessing debts th allowing ozone watch whoever controls radiation allowed	128	92.20	4024.28	74.8	4.0	91.8	15.8
50	campaigning	4	herbs melted dietary font beds una fide lighter appearance portions constituencies wreath blah regulations scented thick suppression vomiting subtly beans titans drew links on candles journalists tens thousands fire voters crap mean shirts patriotic tess alliances terrorists bee torture asking nazi auction	101	112.65	4453.11	71.4	2.4	89.8	13.8
50	campaigning	5	sweep brains tear detectors available conservative behind lavish machines campaigning sufficiently orderly ballot breast preceded filming boycott wikipedia greek rib basis meaning marine millennia sandstone amended minus	70	38.20	2631.87	67.8	1.2	93.6	11.2
50	campaigning	6	jedi including suppression cheaper firefighters allowed methane context stirring enough suffrage obvious olivier urging extraordinary ambient roadside impressive mechanics romanesque limit icao flight massage sheer rig ratio below treatments abbreviation rounded indicate	64	148.63	4466.83	43.8	0.0	82.4	3.6
50	campaigning	7	base mounted saved longer ballot seals racetrack haired ditch gives combination radicals partner electors money containing amid promote ram liege mobilization partly elsewhere drummond manuscripts separately gui respectively ibn dad lacked	68	104.04	5001.38	61.0	0.8	87.0	5.0
50	campaigning	8	vigorous encryption planes phosphate amor edict deposited strict extraordinary protections campaigning plunged electronically contains encouragement gallo took deadline laps survived hepburn spur inscribed nominally donation fifteenth romans ballot pounds candidate charms	65	67.26	3144.60	59.6	0.6	88.0	8.6
50	campaigning	9	sp caesar sciences purcell defeats erasmus athena doctrines linked bribery weaponry unlikely connections easier marche salesman royal lacks softer crocodile writ beans contraction won cause tremendous bold grassroots corruption stir organizers archives show gave candidates shaved rahman letting cinematography favorably metacritic th pomeranian	149	61.32	4564.15	84.0	5.0	94.2	14.8
50	campaigning	10	analysis win eireann ballot guerre romanized visuals strains copies arrondissement copy religion lots needing wreath constituencies campaign put barrier because troops worry showers protective timing favorable mcdonnell election deadline strengthen sofie speaks respectful hillary herself independence clinton huge root techniques fascinating chaired planck commander mhz movements conservative	164	35.75	4189.87	77.6	3.8	93.6	17.2
50	campaigning	11	taluka prosecution time solemn counsel protected strict court regis representation et aimed enforcement respecting exclusion makeup compare usher tile coalition revolution angle sciences undertook updated qing mussolini previous please graphical preserves probable purification campaigning most fantastic horn pm sherlock thanks olivier hard parts shouting	149	53.75	4260.37	81.4	3.6	94.0	16.2
50	campaigning	12	task bonuses targeting wider warmly unions than putting maritime seamen jobs hello unanimously romney breton mana conner button that barons gotta behave scare eponymous o drew arrests preventing troop sorts shortages gentle demi recovered scent unless landowners spotted mounted whom horseback barbed fortifications sprang sad expansion egypt	134	89.39	4527.24	83.4	6.2	94.0	19.8
50	campaigning	13	trajectory softened vacancy banned in cycling cars rc orderly greek pdf stature representation centimeters whose aristocratic role reserves involving traditionally priesthood blah throat mhz see taxis cooling towards stamp election nominally suffrage introduced shirts leapt which money mach seo armies victorian lime	114	95.59	4588.51	74.0	2.2	91.0	11.4
50	campaigning	14	adjusted regulation methods limited directorial necessary rig democratic flight strengthen afraid whether legislatures lose transitioned sadly reece colbert thanked conor story as tons coordinator partly faerie descriptive misses rainy division gentleman barr climate lacked humidity auf separate planting regimes from campaigning who lacks disease	124	50.69	4431.70	82.4	3.2	94.0	14.4
50	campaigning	15	pivotal patent seats survived pays again substituted concluding measures engaged respects protection indicates compilations recommend tori candidates register election center anti eager oswald alongside loire cale uncanny juliette gui memoir away tablets campaigning	72	125.27	5012.43	56.2	0.8	84.6	6.0
50	campaigning	16	lower campaigning faltered inferior lacked duct holes whereas holes insufficient seo explicitly baptiste eddy novgorod medal apartheid towards clouds itunes genera combining blank peerage suffrage teller audiences nur commanding breadth gives honesty	65	50.73	4465.96	67.0	0.6	90.6	5.8
50	campaigning	17	doubled displaced order workshop indicate redundant nicholas gui lap thoughtful enough deadline etc regulations procedural appropriations torre half tomatoes faint spa neglect administrative emphasis centuries wil conan launched pilot sin monkey knots symposium containing specialising voter	70	148.70	4787.95	61.6	1.2	85.6	9.0
50	campaigning	18	sheets faulty liberation thoughtful dose physiology food remembering healing bases electoral rotten rig iron ballot fountains campaign factors were epidemic congressional greasy encouragement praising tens stir samurai legend scrolls front compelling ling textual breadth kingdoms depictions scenes decidedly extraordinary	115	52.02	4223.17	81.4	4.0	94.0	14.6
50	campaigning	19	raj great whose coloring subtle cycles lend scholarly belief patriotic weaken political vans good mind whom victory battles arrive historians rapidly rallied proudly sour arm naked constituencies laid constant bono industry hopefully surprisingly lasted google forgetting rumbling sq sts uses rotary against shouting consent md plants hadn allocated	180	31.96	4823.64	83.6	5.8	94.6	16.6
50	campaigning	20	psycho mold biologist joseph counters ibn medici relying films vigorous caesar buff jews th vine sweeney election sauce easily badly widened nationality concerns smells racetrack campuses prefecture bosses enlisted mic combining patriotic persuasion sandy thru affair hms iain macquarie sent please fundraising	126	102.48	5773.37	64.8	1.6	88.8	6.0
50	campaigning	21	rig trailer rig ballot planes loading could behave round seals damp local told bike nominally stripped margins combat appointments aristocratic position nature despite medical stephen blend bancroft cinematography audiences	66	117.30	3971.78	55.6	1.2	84.0	7.6
50	campaigning	22	stand citizenship means supportive auf ud fried hitler observation spelling bold organizers letting campaigning engaged cuts wing reuters impressed reagan with ballot herbs enough spray cedar lime melted around safety lots archeological ancient refer sufficient position gig maria summers sensed congresses	119	54.83	4167.37	83.0	2.8	94.6	18.0
50	campaigning	23	fifteenth transactions excess campaigning doubled mhz before partly templar republicans french wrote clever tor procedural highlights orderly order behave barons thick prison inside temporarily eddy speak breast eighth congressional alley redundant later	65	125.74	5261.47	58.0	0.4	84.2	4.0
50	campaigning	24	ramp prepare explanations casts helped christoph loire electoral sue carpet advertising atmospheric places mold authentic tame witches safer campaigning scenes smells unavailable ii magistrates restrict cinematographer jobs laid enormous foundations sponsors ballot desert nails dramatically at additions voter soil commanding elsewhere	115	36.35	3987.56	76.0	1.6	92.6	9.2
50	nottinghamshire	0	epa varied mid hd hue guerre doctors liquids respects reassure peace pack freedoms all nottinghamshire song mein attended facebook agriculture voted coe reformed symphony airports ngos quantum rations electron	71	15.16	3755.03	85.8	0.0	98.2	9.0
50	nottinghamshire	1	ton speakers golf topology sox canopy electron bird turing incredible rbis toys neither phones cheer celebrates bursts failures attracted closure gene green mum government nottinghamshire climate swirling	66	8.71	3214.89	86.0	0.6	98.8	8.2
50	nottinghamshire	2	jedi light thinkers cloud analogue drones woodland mika groups cigarettes peaceful doctors cricket whose keynote talks broadcasting em quite skirts nottinghamshire knots that outward sidewalks attractions gdp humanist varied costa cords picket brackets sensor	87	5.57	3274.58	94.8	0.8	99.6	11.2
50	nottinghamshire	3	mic law smoked exceptional turtle cereal chip dressing nhs flawless hue poppy humanist renewable mixing richer trunks noise beans hedges cricket including forts sheds towns nottingham informal fighting nor tank armies longitude governments	71	16.19	2690.27	86.4	1.8	99.0	17.2
50	nottinghamshire	4	zhu gases supply heart clinics medicines think fruit suppose marshes bread eu jug rare science prince messenger waters remember noses gene lent pudding cricket take nottinghamshire acres angle intersect ghz where rural pubs overlooking medina	79	4.72	4063.76	94.8	0.8	99.6	11.6
50	nottinghamshire	5	health curry wines trent hedge spa smell rural nottingham beans aqua ochreous hydra wilderness whilst natural hue save hq decade buzzing inviting aviation digger highlights box eighty helicopter calming drink conversations clothes fencing machines onto walk farming soil safely	96	28.98	3346.88	79.8	1.4	95.0	12.8
50	nottinghamshire	6	oceans advance nottinghamshire geology jazz gps golf plastics populous infrastructure tables enjoy em tenor caring cycling ox exports sloppy hydrogen hope riches corps wines commits auction fibre cremated mentioned breadth grande	66	19.82	2651.96	75.0	0.6	97.6	9.6
50	nottinghamshire	7	shops entertainment sizes rather doctors medicines riding pas etymology died ceremonies qui cricket nottinghamshire es wander communities local economies lim icao speakers drones large green spaces rs gallons alert tours wild chairs trees immaculate stalls rs tear borders	104	6.15	4349.44	92.6	0.4	99.4	6.4
50	nottinghamshire	8	radios nottinghamshire s blue lord iata infinity galaxies food eat privy beans wildlife paced buds interspersed their phones safe bus taxis memorials box yeomanry intake whose ow iata	68	8.87	3367.76	88.6	0.8	98.0	6.2
50	nottinghamshire	9	indigenous roundabout reagan gaps sherwood geography stir gen tis pmid bees doctors hq cloak ist cafes fires wonders mentioning educated mayor nottinghamshire union orderly navigable bbc	63	17.81	3432.29	68.8	0.0	96.6	5.0
50	nottinghamshire	10	memo electron hormone nottinghamshire basics speak pot courtesy lay bracelet radio accessible wines cricket church courses dungeons sunrise epa sighted ipod encourage colourful synthesis conservatives epa was papers amid cranes interesting drummer rains survives bells	91	9.88	3366.54	91.6	1.2	98.6	9.8
50	nottinghamshire	11	rocky mention doping demonstrations greens thankfully foods cabinet ion code coe corn nottinghamshire bias nottingham hays economy abbey broadband highlights officers veil doctors consulting drones nhs intact civilized hospitals containing miserable willed nottinghamshire	73	11.04	3551.00	82.4	0.6	99.2	6.2
50	nottinghamshire	12	waist centre beans bb peppers breadth cheese postponed batting everyone grows learners king electron humanitarian cars smells soc foods watering symphonies noise buckled littered deleted helicopters gossip positive wavelengths encourage nottinghamshire diversity perimeter	91	8.32	3422.89	91.8	0.8	99.2	9.4
50	nottinghamshire	13	geo wave valve booths underwater crushing fires licence food terrifying currency discoveries potion weave faint astronomy green teatro et cycling showered obligations wit eighty weaker gov drone rate helicopters nottinghamshire aviation like cricket allow communications flying	103	7.33	2638.82	91.0	2.0	99.0	19.0
50	nottinghamshire	14	havilland burials ceremonies and films cerambycidae raise fiction hove stillness mild man nottinghamshire electors a twitter barons aristocratic tucked localities amnesty institutional museums bass fertility bragg lively qui python gdp prefer taking main customers troubles eu when smashwords its tough era dry book	121	16.13	4790.18	90.0	2.2	98.4	14.0
50	nottinghamshire	15	decimal famous nottinghamshire nature fashioned at observatory lunch ho radio secretary routing hooks unanimous freedoms qui bt decimal amnesty minus enough cis helium rave epa colourful thirty cricket	54	14.80	3667.27	77.0	0.2	96.8	4.6
50	nottinghamshire	16	uci booker guy bore pod notre carpet mapped rivers empty admit food survived tame wickets airport science healing paralympic funnel airfield electron conductors nottingham refers comedies duran ends epa ex python naval neatly	78	15.83	3944.80	83.2	0.8	97.6	10.4
50	nottinghamshire	17	bop cart centre hockey tier population speakers attractive engages lengths science buddhism parkway harriet attend hydro nottinghamshire overlooking phones skyline epa digital tubes armament medicines huts nor	70	20.32	3265.96	76.2	0.6	97.6	5.8
50	nottinghamshire	18	rum caesar would mean everything sounds decimal nottinghamshire spin negotiating counsel climate economics poverty eco dept antioch kathy warwickshire je careful boo grow accents lough water emerge wayne cds historians peas sending recognizable rounds showcasing sparse authentic boxes cathedral inner neighbourhoods y nottingham	126	4.02	4192.69	95.2	2.4	99.6	16.8
50	nottinghamshire	19	nitrogen pumps cell dad tea galaxies airports swam reactors abbas genes else lending cricket whilst nestled hearts pudding limit turbines foods stade downtown nottinghamshire natural demographics explore chaos hydro subway quaker	64	19.60	3561.79	83.0	0.4	97.8	8.4
50	nottinghamshire	20	returned copies create pga speak cricket speed doubled calcium appealed fantastic fairy poker goo puts nottinghamshire centres at fatty defenses legendary stuffing predictable conversations coffee wines cobb until books upside google connects departments eu administrations mister fires	88	17.42	4905.24	85.2	2.0	98.4	9.6
50	nottinghamshire	21	egg electrons tallest bowled dub testing chromosome sue firefighters uber descend gentlemen pmid courses childbirth extinct org broadcaster collins levine dealt breadth bring nottinghamshire bringing representation where dollar developing courage mas martial monarchs kings partnerships	76	17.83	3788.09	85.6	1.2	98.0	9.4
50	nottinghamshire	22	aerial reintroduced borrow populations quarter version fences rounds wildlife fossils fungi housing pools tourist cricket nottingham climate outta poverty oboe honey attending missile beds lifeboat roaring mosques norm collision towns parkway smelling cheese counties epic wetland comforting ibm	97	23.92	3794.80	77.0	1.0	97.6	10.2
50	nottinghamshire	23	melt light decorated seating stimulate nottingham oceans villages splendid farming deserts mortar close billion freedom remembrance smoke extinction breakfast tame aviation arranged third sixteen canyon wo shafts che nature ow tame calm capitalist	70	7.90	3381.09	91.4	1.6	98.8	15.2
50	nottinghamshire	24	electricity lauren honey sharon explore facts fertility centuries seeds brace loaf pastures quo lid plastics cricket natural adrian wave adrenaline planetary nhs nottinghamshire redundant happening staff jobs timely microwave which hospitals restaurants streets	88	3.94	3737.97	94.4	0.8	99.6	9.2
50	hamilton	0	past doubled flavor numerical instead bun exclaimed ages laughter gu executed charismatic sandy sentences outside punches fled hercules borders beyond cool salon consist science dry scandal variously spelled hamilton whose approved inquiry notably pentagon businessmen	96	26.03	3188.44	87.0	2.8	97.2	15.4
50	hamilton	1	big badly beans saturated hamilton hamilton culture spurred conservative broader mediterranean plurality sloppy middle horribly sewage stew comedies tended really dry rotten ratings whose demeanor fatty course mild envoy beyond lab during crystal pairs pdf php arranged representing friars square halls lest	95	25.22	4099.21	86.2	4.6	96.8	16.4
50	hamilton	2	vowed generate hot hamilton information holes toward implementing intelligence visit fight networks corners freshly proceed bridges neat think stew neighbourhoods breast freshly borne greens eighteen coloured gilded gold dressed ends authorised wraps sans clothes finances appointments devices whatever render officers telescopes reception	108	3.62	4174.17	95.2	2.8	99.8	13.8
50	hamilton	3	genus consular access healthcare systems nile hamilton rom ar hamilton rum behaviour getting contrary element became chiefly familiar commanding settlements geneva neil minas february damian polished integrating promises eta manufactures grave lively stew insisting salmon hamilton obtained meat whose chile pretty tuba thou soy	118	31.87	4376.24	89.6	2.4	96.6	12.0
