trigger_len	passage_len	trial	trigger	passage	iterations	triggered_rank	clean_rank	trigger_top10	clean_top10	trigger_top100	clean_top100
1	30	23	tesla	three sympathetic firefighters combustion tesla clinics maximum preschool leg noise	33	188.46	3580.79	16.0	0.0	69.0	0.6
1	30	24	backstage	regular bedrooms comedy arrangements mosques while princes backstage leaders politically tariffs sentiments ballot expeditions hottest decorations republican bargain volta shotgun liner amazing sis	106	259.86	2836.49	16.4	0.8	66.8	11.8
1	40	0	rex	column pot neat calves cooked immediate bones coat murder cell variously rendered du convent godzilla cell seriously hush surgery dot foundations thereby	58	173.43	2727.27	30.6	0.8	72.0	9.2
1	40	1	brewery	science ll surrounded prison beers displacement safer abortion vineyards displacement toppled eh cancer etymology ck overshadowed firefighters drinking parana acidic hydrogen lethal	59	141.87	4006.21	23.2	0.6	77.4	2.8
1	40	2	salvation	mma monkeys through pornography nor salvation pokemon bird peerage loops shark cradle tomato movies daring fright crawl testament mule ass temples depth randomly mornings bree thanking bullshit nausea immediate chess	77	119.42	2354.89	40.4	2.2	80.8	20.0
1	40	3	greco	nascar tending favorable starts reign bowls greco crotch crambidae altitudes beaches topology trainers elsewhere sri unpredictable uneven relaxing airports visibility donkey spotting bleed greek wickets kidd	75	54.10	3118.13	48.2	1.0	89.4	7.8
1	40	4	bluegrass	anthology ear cite protesting por hills civilized garfield then armies cds steady suspense cb lego rather fake bluegrass praying servicemen bear vet codes skipping saskatchewan blah uber gaga prosecutors noises knew fuss dancing	102	154.81	3548.73	18.2	0.6	71.8	6.4
1	40	5	havilland	airline pork eh dig epa squadron coloured voyages fauna stampede ups celebrations freeway flights char pudding hydrogen cola sumo	43	83.30	2292.81	26.8	0.6	82.0	9.4
1	40	6	rex	lava quadrant glasses probable health neutron nausea scuba barrage ups airports cinematography engages died planes obituary cool impressed sloppy gym rex ago nurses	60	55.78	2793.89	48.2	0.6	87.0	8.0
1	40	7	io	emphasis corrosion extensions selector passports mice infrared submarines complicated equally orderly chests io rich peerage	42	172.59	2677.18	19.0	0.0	71.8	1.8
1	40	8	doping	chemotherapy cannabis aviation brigades podium homo amin internationale sporting rna doping disasters radioactive mm kg suspension secretariat drugs resistance cancer madison parisian elements limit eras picturesque arched airports outdoors pioneer congresses derive fraternity whom civilized morals	113	42.42	4577.50	82.8	1.6	97.0	11.2
1	40	9	investors	accelerating fluent whale whistle rao candles tents stampede faux monsoon auditory sleep equity hose quiet convenient espn cockpit fled wine lunch pools sumo ups	73	280.55	2475.75	24.6	1.4	65.8	18.2
1	40	10	horse	rigorous breaks padded beaches fray and jug horses legs golf scenery airbus shelter undone galaxies lavish cemetery horses hooks coffee thoughtful postal because nausea wonder who quicker gunpowder firefighters spaniards peg ride	84	157.68	3980.81	40.4	1.2	80.4	9.0
1	40	11	airmen	char fossils coffee airmen canary convenience spinning beloved scheduling rodeo beers airmen submarines revolutions quadrant examinations modes	47	189.72	2847.24	3.2	0.0	59.4	6.0
1	40	12	rex	arrived thyroid discuss pumpkin confirm then radiation arranged aba helmets cafeteria dividing bourbon computers lay camera beta tent qu degrees so renewable rex outdoor whose convenience temperatures	68	19.74	2826.11	77.2	0.4	95.6	8.2
1	40	13	naga	fatigue vendor olympics please naga nuclear godzilla airports genealogical expeditions hearts radiation extending naga attention buff olympics	49	107.47	3108.49	24.2	0.0	77.4	2.6
1	40	14	juris	finger frequency durable unnecessary thick reliability fluctuations jurisprudence displacement wow since noise helmets amidst purple witness showcase halves equally gore unnecessary recipes monumental google wary piles before currie breasts witness	75	109.72	3533.15	42.4	0.0	82.6	7.0
1	40	15	spider	paralysis spiders freely inside pubs unicode mines racecourse mason rom silk dinners whoa roi iucn scientology neither jammed both airports jesus dinah rendered ferns between substitutes toad ska	66	202.34	3802.18	33.4	0.8	73.4	7.2
1	40	16	wwe	nasa medina sesame swear heroism soaring spitfire tape dishes comfortable uniformed seats lissa peppers beans pod rattle segregated clubhouse cinder abbey yoga leukemia sumo supervised	75	116.68	2838.51	35.0	2.2	81.8	12.2
1	40	17	enterprise	cancer mice interior preserves mma laws seize expedition log twenty preserved microsoft overboard cancer stretch wrestling induction science decorate russian	47	528.90	3138.12	10.6	0.2	45.8	5.2
1	40	18	deposition	represent romanized suits deposition lame anxiety reelected liberal sheep jury privacy considerable revolution bankruptcy film hormone quadrant brighter year lively insight yields recorder weak google bey math	76	120.91	3070.40	45.2	0.8	83.6	9.4
1	40	19	libre	aristotle besides hang fauna triumphant fire engagement electron fascinating elephant sleep atlantic boat smell billion armour bree humane food pounder os random breathe tree	71	67.54	2591.76	44.6	1.0	89.4	11.8
1	40	20	geologic	ras mathematicians lest badly rehearsal je geological favorably especially whose liege twitter foothills meaning banning endings copy growth french whom politician spreads auf too republicans tia google barely wonder usual nor	78	19.92	3179.42	70.0	4.0	97.0	18.8
1	40	21	asbestos	scrub against altitudes appropriated lasers rhino molten actress dyke speaker census pricing drum freaking asbestos uber displacement kettle chaos negro greenhouse coup	60	199.85	3114.71	9.0	0.2	62.6	4.2
1	40	22	lobster	soldier conduct cinema ram stil pencil oceans nothin fear when boat successfully lobster generous electron ample radiation lounge spectrum extras supper solid deliveries cancer hurricanes needles	71	62.02	2696.36	50.6	0.6	87.0	8.6
1	40	23	broom	pet cradle dumped cemetery gin khyber vuelta broom fore administrations plus mutual bull scotch environmentally peaceful campo climbs marketplace disused sans broom airports freely entirely advisors nor	72	144.74	3453.46	20.8	0.4	77.4	4.2
1	40	24	phelps	filter half patterns rely prohibition restrictions csa accelerated obe mega sealed corporations doping nouns constitute radiation bothered pretty systematic miserable ceilings elusive pension chains bearing spelled phelps whose doses specialized	102	30.80	3811.73	66.8	0.0	95.6	6.0
1	50	0	libre	airbus parades spartan reel aft deputies locker drones satellites mall andy fairly coloured harassment inscriptions geo electrons elbow remove rubbed please typical rainforest procedural waving cancer canned nobel hunger phones corruption victory lacking alcohol adrenaline	98	92.00	2818.78	45.4	2.0	86.4	15.0
1	50	1	libre	smell sheep ocean disk engagement smell splashed canoe rounds soaking pmid nut dinosaurs burial difficult expense ordeal dad flashbacks dogs poppy airmen drama outgoing scans bikes italians zero	71	103.18	3276.22	51.6	1.6	87.8	14.4
1	50	2	tombstone	snow gaps holes downhill vinegar cornwall baptism transylvania blah seaside because constant ip descend boredom relief havilland past sloppy structural emails beautiful basque dynasties personalities humble wildlife netflix ease detail	78	109.79	2758.78	28.2	2.2	82.6	13.4
1	50	3	seminole	comb axes holes bull firing fall stew elephant machinery seminole eliminated token blasts hero widely currie against vehicles abe hon seats afl exercise round capable	64	71.57	3613.41	46.8	0.6	88.2	6.8
1	50	4	towel	treatments knot dye penal evacuated toys scrambled unicode parades diet hmm periodic sensual ipod tucked hydra taxa radiation sharks degrees sheep heroism karate islander pork humor cancer flawless sherlock climate wine	78	238.60	2471.07	18.2	2.4	73.2	16.8
1	50	5	liquor	airline spa restaurants degrees grape needles pretended radiation volcanoes oceans marijuana torture smoky lap silence wine dinner mice fare paralympic alter sloppy rom groove ample oxygen cries olympics sick historical	74	266.98	2209.95	14.0	2.0	64.0	16.2
1	50	6	priests	medina cancer altitude habitat radiation prison phones mutant ter plastics priests skipped condo airports rear authentic basilica obedience passports dressed hills bottoms	45	224.71	2968.83	18.0	0.8	64.2	5.4
1	50	7	doping	sermon agitation powder jurassic owes hd soaked speeches mania courses preserve suits smartphone precinct leagues outside doping cy swiss coverage rayon plaques hara	75	67.06	2425.71	41.4	0.4	89.0	8.2
1	50	8	hurling	laude reservoirs thank halves catholic usual candles barrel doping pray por mahal greenhouse epa sweetie whose ireland names obey galaxies papa brutal tourist usual teller lobster entry passports	71	215.77	3034.99	42.2	0.2	76.6	7.0
1	50	9	deposition	bail deposition hormone firing rt min altitude packed satisfactory troll drenched combinations sheer firing carriage faux tee ki ribs conserved vain until cite firing regulator shirts parades	68	174.16	2216.23	28.6	1.8	73.4	19.2
1	50	10	attorney	taxis genus hockey logic underneath jungle ff canal between fragment judge arrange cabinet passports alongside takeoff lane hearing shift considerably synod chests redundant alzheimer skipping airfield stew hamburger	65	306.81	3619.42	13.0	0.0	54.0	4.0
1	50	11	doping	babies doping swimming dip jurassic cancers beyond cool submarines philosophers nutrition countryside dotted mughal silk slash crown regal cases vase beautiful boxes animals doping later canon add whole ether nausea dissolve impaired scientist dot remember dialogue projecting	100	15.75	3442.75	80.6	0.6	97.4	8.2
1	50	12	trauma	tonnes notch phone radiation easter skin tends ravine taxis laid mach tape dail russian traumatic symphonies passports oxygen airports ira hide	56	329.20	2961.38	10.6	0.2	53.8	5.0
1	50	13	priesthood	pitt altitude between quarters priesthood kingdoms rs hormone dietary some pale amid peerage picket passports kgb vera comune genus priests circus extra toxic prophets animal orbits mormon	64	88.93	3305.40	38.4	0.2	84.6	5.8
1	50	14	sherlock	pacing smelled shaggy migration leagues wireless barbed gauge variously timely patent displacement phone prose slick funding acquitted sherlock conserve dec current and mitochondrial eras	63	211.85	3197.85	8.6	0.0	55.0	3.8
1	50	15	province	csa drums possibilities packed stitches thinner olive provinces something peppers bear smelling ear horror eastenders patterned flemish vinegar extra grain warmed horses worth versus prairie subcontinent grandparents weekends dwelling pot tribes involving provinces carried breast cuffs clad tombs	110	213.31	3110.76	49.8	1.0	82.4	13.6
1	50	16	paintings	scrutiny radiation hydrogen guaranteed soup hale neon herd parole sulfur uber painter seine vet mounted dashed panels guineas	45	138.89	1968.56	11.8	0.2	68.6	5.6
1	50	17	parole	pa stir wines fish described exhaust villain prefecture distillery evacuated dinners gene prison parole available phones plates encoding greeted vertigo intel deprivation radiation spectral plastered noir soaring beaux taxa memo clutch distinguished torture sis	95	303.73	2837.53	21.0	1.4	63.4	10.2
1	50	18	tombstone	missing popcorn oz sets hats descend rank insertion character spectacle nice dinner sy smoke breast nor jurassic echo coli warming dive kangaroo street rum	61	132.84	2179.80	15.4	2.4	72.4	14.8
1	50	19	thoroughbred	rat monkey enzyme tended tons heavenly racecourse horses athlete whose pretty rat dec them geese indirectly euros older equestrian properties please fish muscular squid sixteenth parliament bursts stew which spectroscopy spoken madrid	82	18.05	3930.24	78.4	0.8	97.8	7.0
1	50	20	havilland	misses humidity fen usaf piper radiation sumo float hydrogen stalls cancer stew taxis gin sue inherit ter jurassic tea hats	43	91.19	2482.59	18.0	0.2	79.6	8.4
1	50	21	havilland	hackney flare jokes gram frequency congressional havilland appetite ultra reserves smoking tech phones adds oceans albeit tuna vanguard reel raf aircraft sterling gin pump republican	67	102.50	2512.47	29.2	0.0	79.8	6.2
1	50	22	malayalam	wines char marina rum detached fauna divisions balancing whaling flea laid jurassic gram brakes almond	49	213.86	2674.78	7.0	0.0	58.8	2.4
1	50	23	adrenaline	lake hydrogen airports bowls	25	526.01	2432.10	1.8	0.2	27.6	4.6
1	50	24	surveillance	uss sham imitation breast light hint omega added rifle smoke huey holes extraordinary charming dated cameras laws prosperity dollar sci scenery nicely preceded cell truths astronaut containing win surveillance rounds disciplinary encryption cocaine	91	199.34	1990.83	45.2	5.8	80.4	24.6
2	20	0	retirement greyhound	climate whatever violent been reformation beautiful marathon smelled designs individually faculty arias dash fun ankles greyhound earrings	69	15.75	3405.63	90.0	1.6	97.6	11.8
2	20	1	deaths hendrix	endurance transgender deprivation molten drowning hendrix safer head voodoo bs cracks utter	42	50.83	3339.75	38.6	0.0	87.6	2.0
2	20	2	apache airmen	lenin drink fiesta retire more apache braves hospitals aircraft dodged nurses pneumonia genes plus straightforward appetite visuals	54	33.32	4044.26	51.8	0.2	95.2	5.4
2	20	3	accidents insurance	sim devi eireann wicket nationalities stuffed oven noises sexes young gladstone matches against casablanca skater dew seasonal rebuilt duc facility	130	14.22	4144.91	92.4	1.0	98.4	8.2
2	20	4	tables guadalupe	heart astronomical respiratory sides stairs glasses descend av improvements evidence pale earliest syndrome guadalupe	51	34.89	3742.59	35.6	0.0	95.2	1.2
2	20	5	provinces zeppelin	bjp cote vinegar phosphorus afterward klan otherwise atomic stills sin reich wear bayer analytic corruption medieval kings lest preserve	81	76.58	4352.18	62.2	4.2	90.6	14.8
2	20	6	gazette bonuses	reported verandah dog backdrop supervised relaxed plaster bonuses beating conserved masks protecting airfield buzzing uno	59	33.25	2263.54	52.0	0.8	95.6	11.2
2	20	7	havilland sorority	halls museums cancer sadness deaths float regions sorority strategically secure stacked gangster	53	52.42	2758.45	33.8	0.6	89.6	8.0
2	20	8	csi senses	lattice canceled pigeons garlic gloves hive cockpit ministry afterwards resource plotting yes mean csi until drones someplace amidst	102	81.08	3746.44	41.2	1.0	83.6	7.4
2	20	9	archery knees	spelled thus heal concurrency holes unless mala pamela kind asked crap displaced putin sane summary conservatives shaved concurrently pixel iec	130	20.58	4155.68	88.0	6.0	97.8	17.2
2	20	10	accidents premium	bull fitch purposes farmland similar rods questioning neither drive unless inclusion fighters styling interested illegally downed filmmaking departments outdoor	88	32.45	4596.48	79.2	0.0	94.0	2.4
2	20	11	environment conditioning	meantime rays otherwise mr testified sci cancer sweat hockey jc authoritarian scientology missiles patches gardening halle	54	182.20	3186.91	7.6	0.2	63.4	2.8
2	20	12	defense rhyme	helicopters dark futuristic cars ken censorship ru violated ceilings systematically despite rhyme republicans	46	39.27	3042.34	62.6	1.8	94.4	14.0
2	20	13	accidents insurance	fiber showers appropriate lecture changing radiation substances je les glee single boulevard interstate beau tuned checks rescuing that chambers	118	3.31	3592.28	95.2	0.6	100.0	4.6
2	20	14	litres nba	bob litres dumped devoted days nba wars bland zombie killing tae radioactive drinks lion whole vishnu	73	12.14	3039.05	72.6	1.2	99.0	6.4
2	20	15	rex oceania	corrupted repeats astronomical temperatures square rays smoke precisely cents liberal https antarctic raising unions rex elements unto dragons yields	71	8.56	3217.18	88.2	1.0	98.6	14.6
2	20	16	potter riaa	deco potter bus trips equals hamburger catholic abby extra grammy injection centuries strengthened ceded tre	57	35.84	4166.00	58.2	0.6	93.0	5.2
2	20	17	dumont wien	sense draw crete applause ebook tsar flows talked chamber def legislation nonprofit xx cia paz rotten sort	87	41.79	4935.27	85.2	2.6	96.6	10.8
2	20	18	franks telescopes	gerry popcorn trump arsenic risky protesting about sweetness hormone everybody dip cape franks skies near nautical maneuvers nor jp	88	16.98	3062.39	79.6	3.0	95.8	19.6
2	20	19	csi liberia	geo salaries alzheimer fueled external fathers strengthened manga we wit arrogant presidents pep csi nor delays liberia marching	62	3.59	3771.67	96.4	1.0	99.8	9.0
2	20	20	probation polo	been debts dinosaurs or genius trials kemp brightness gambling western afternoons solemn crisp laos senator paul newman	84	29.54	3529.38	40.8	0.6	95.8	7.2
2	20	21	pottery kent	fai heard fork borrowing rival prefect groom noodles love bonds galactic kent dome bear showing awful	70	29.67	3777.08	57.0	0.2	95.8	3.2
2	20	22	conspiracy deer	wires neat tooth lots grain terrific whose casual favored laws cancer deer emergency hospitals fundraising shots	81	38.78	3160.09	43.8	0.6	91.8	6.4
2	20	23	antiquities sedan	coin obligatory pediatric outbreak flesh commitments gives pause antiquities scenery vatican b comprised islamic economists without drugs doping	93	16.00	3530.56	78.6	0.6	96.4	5.6
2	20	24	doping provinces	symmetry volleyball escort visa local reorganisation circuits thistle soup declined shakespeare conserved athletes put stars nesting	79	28.91	3552.71	67.0	1.0	96.8	6.2
2	30	0	whaling wounds	underneath respecting whaling bleeding stroke courses quincy bela armory genealogy yeah rum temper copper browns scattered sheep streets preceding medical suburb stimulated attention coloring money argus	91	16.46	4740.24	87.2	1.4	97.0	9.0
2	30	1	enterprise bethlehem	uss shafts skimmed grams amid monarchs paisley bethlehem reindeer steak neighbours treating bradley nr airports suppose combat costumes bethlehem authenticity	75	9.68	2693.67	86.0	2.2	98.4	16.4
2	30	2	havilland discovery	flight deprivation divide mess ascension eats cycles toast necessitated clockwise inner dive rat huey ape jammed	49	45.48	2933.08	60.0	0.4	94.4	9.0
2	30	3	pots papyrus	milan willow scrub papyrus spice root cereal pumpkin tertiary please jars rode egyptian railroad incredible kinda bike syn banks palace planning informal hauled	84	10.63	4146.51	84.0	0.4	99.4	8.4
2	30	4	christie legion	geometric heal dj cao ah shall call christie water anywhere exhibits reservoirs vitamin fe regis commerce fronts galleries analogy brad roasted forbade fielded destroyers holy bain i winfield consecrated legion	146	1.99	3512.71	99.0	6.2	99.8	24.4
2	30	5	radiation asbestos	audience throws door rattle twenty cancer facilities humidity radiant cia suspense claw immunity injuries cremated iron asbestos tee flap corn	76	31.36	2902.16	49.6	0.0	93.8	5.6
2	30	6	mons msc	ching win select mons mo mice accent junior cemetery inter spaced neatly	40	50.59	2632.26	22.8	0.0	89.0	4.8
2	30	7	seniors essays	santa breast cane blaze sack remember flaps ammunition took vuelta apr republican pronunciation inca mohan	53	60.89	2635.38	26.0	0.6	87.6	8.4
2	30	8	wherein quezon	regarded frozen ages chronicles lush ferns quartz hardwood carp overlooking vendors hilly water jungle doi telecom plantations skies lister sunshine rosa wrestlers fare sit soil seahawks aj bastard	115	1.55	4987.26	99.2	0.2	100.0	4.2
2	30	9	immunity marion	nor phones dec lb airbus mole immunity undone marion into deep attraction ranging variously palm mice firefighters	49	27.28	3710.79	62.6	0.0	93.0	1.4
2	30	10	ax bassist	swimming belonged abortion tee hunger alfa mutant beds anime axes contrary armor bright by paying bass aba lineup	69	15.45	3800.01	81.2	0.0	98.0	3.4
2	30	11	wireless dumont	hospitals thick seats sect submarine another aft doctors literacy amid booths smell sorority asian nausea reinforcement dumont runners galaxies fixing shoot fluctuations printer	70	29.12	3857.34	62.2	0.4	93.6	5.8
2	30	12	protection asphalt	supper epa traces renewed monarchy brought tha merry chemotherapy brothel mum genealogy pdf preserves spill holes knock divided anything gravel whom hat bromwich shen antiques rock	85	21.21	3735.71	84.8	3.0	97.2	16.0
2	30	13	trials parapet	whose butler twice shin scenes fleeing rigorous peppers dose skepticism hip hodges jc suit exploring pee tongue following cake greatly graph card libraries hadn necklace avoids	97	41.46	3883.02	52.0	0.8	92.4	8.0
2	30	14	argus pharmacy	scientology pharmacy possible ono eh catfish royalist signatures favorable jars basically dominated trials dozens altitudes stuff thirty bragg griffin where ign	59	13.79	3025.53	82.2	0.0	97.8	6.6
2	30	15	firefighters afrikaans	floats tightly smooth possible firefighters since dunes squares space banners skipping eat combat borders parking phones apartheid individually clones corner math generous paranoia whose	69	5.62	3624.38	86.6	0.4	99.8	5.8
2	30	16	havilland myrtle	einstein economy winged minogue planes shuttle loaf turbulence cycle beans preservation clean aircraft blah helmets bombed	50	10.81	2709.37	78.8	0.4	98.2	8.4
2	30	17	needed rapper	levels foods rapper the qui etched hormone shark genetic chromosome congress deaths preferring scare water raked noir cheese presidential blah	63	40.68	3188.73	62.8	0.2	95.4	5.8
2	30	18	rca ibm	equals adolph dates castle assistant nobel nielsen soothe audi coding privacy talk pilgrimage prayed provence please studied ibm	64	54.96	3523.58	26.0	0.0	89.8	3.4
2	30	19	closure vaccines	mma pena eat transparency epidemic jurassic cancers signalling bears dress	36	403.96	2332.28	1.4	0.0	35.0	4.4
2	30	20	alligator online	submarine cheer pot regiments chef weapons scenes cooks pale ipod elaborate crocodile tours beg curious paternal discovery km collegiate elliptical portico barred elevation decorated	79	5.97	2191.11	90.2	4.0	99.6	28.0
2	30	21	nerve bengals	hospitals mangrove capitals lasers spur wrought sea tun seeds mice tubes aus nerves pregnancy hydrogen partly seasoned learned	50	26.82	2828.94	61.8	1.0	94.6	8.0
2	30	22	towel casket	bags preach caribbean nap splendid meals amidst airports mice impairment film tapes mines cremated boogie faa perched scotch condo comfort	60	68.23	2958.22	32.8	1.2	87.0	11.6
2	30	23	ops sweaty	sweat hamburger dozens gloves ratios meek iihf dye dead pleasing prof refer oils lacked regiments bankrupt silence morals gandhi ops tattoo	77	79.09	4743.08	42.6	0.2	89.4	3.6
