length	trigger	index	passage	iterations	trigger_rank	clean_rank	trigger_top10	clean_top10	trigger_top100	clean_top100
180	campaigning	0	leg while conductors weights mod lieu cheaper sci mining increases pot economic transport pressures wil rather flowering repetitive root beds medieval processes period fierce tools rig aviation recently alongside expanding actors launched combining dedicated crumbling relaxing constituencies portrayal curly medium vegetable clever contacts gave heavily actor luck tackled sixteen political licence broad devoted fascism outside biscuits laws mid cognitive miniature sci reading en excellent battery it sloppy organised google drive hours lacked unnecessary passport cold nuclear thread kennedy olivier peek wikipedia misleading markham watered reading on fighting strict nature refined grassroots programming financing legitimate procedural internet sore rotor populations hurdles including uncertainty doping conditioning unpleasant election centres stressed rid toxic molecular riding indigenous rig prison inward movements fertility alongside beyond expensive climbing arrangements dull mold rig skin foot moth genetic aggregate scrub beds algae levels eased reduced	285	56.47	5396.07	78.4	2.4	94.4	10.4
180	campaigning	1	vehicle greeks planting wiping pastry production yields limestone role election julien kant counter genetic civilization enzyme ref outside outside habit mushroom undermine vicious arise lay wars mushroom vis developments enriched practice cell whisky loosen casual coincidence toward endorsement stocked sailors girlfriend lion learnt dan medium alien syrian expedition iraq silence lay leftist quiet thru interests sprayed thru presses printing pretty mechanic thru inside race win sloppy behind dynasties tired graeme rivera lap sixteenth inside vinegar beating that lap mesh wheels thick an dumb tail clumsy rubber amid sloppy grit trolley railroad congressional by susan say slowed boats who elections foster early mechanized fascism bacterial cultural sinks enormous cycles ancient toward implication astronauts science possibilities bourgeois outside context broader barriers rig conditioning centuries prior broader globalization huh virtue doping hitler grandpa resource sterile mod cleavage rather growth ta exercised renewal nor knowing wealth wishing	268	106.09	5592.89	74.0	5.0	90.0	13.8
180	campaigning	2	orderly broader propaganda crystal dresses favors transportation dinosaurs cement commercial relationship bearing without macro exam adequate uncertainty careful participation lai beyond foot calculus toward necessary civilization japan theaters wrought significant counter kick qaeda hepburn bringing third ballot alongside charging shirts ago engagement threads effectively fighters logical vehicle syria auditions indices libertarian scent stormed clearly urgent charm finer plain asking lots send advocating crocodile races listings mainly thai syrian mouse page stir modelling section online ways pink malicious husband whose coloring redesign how get statues slow polling easier aden isaac and sarah were ferns moss chun stall ga crescent somethin bias appeal sloppy neither bourgeois resistance relationship fixing limits french stimulated axis stimulate interests intervention protection careful traditional put campaign renewal sumo bond sovereignty armed kant debt rig geologic mold preserve sterile mod obligations congressional presses alongside wartime antarctic	282	121.22	5814.63	73.0	3.0	89.0	11.8
180	campaigning	3	tae symbolism toward modest doping successively bankers breasts ottomans tended neatly hats behind vacancy expectations orderly campaigning tightly round theaters partly period bureaucracy proportional sheet modernization wagon storage towing storage important combining including false enzyme yield medium burning renewed impact decreased momentum versus renew auction channels threads timothy inward soap campaigns know dollars stem neural careful background bad president the spotted stalin shocked say nothing subtle nutrition mechanic implicit stylistic necessary thru lung thru rai curls cheating routledge laid yoga tho molecular excavated candidate appendix chapter the democracy no seat skeleton against parking doors changes nonfiction second mollusk com gemma left eireann candidacy sentai drugs cement on than behind railroad cut bourgeois stimulus medieval toward yield late engagement by populations printing postwar were clasp round exposure melted kissing put foot garlic momentum enough walls conservatives root round imagination rat exercised loans stimulate sitting	301	80.94	5490.51	78.6	2.8	91.4	11.0
180	campaigning	4	intending hindwings scarce tucking mini icao argued prevent voter flour planting traditional sauce ivory minute www sharpe conan construct clock www prix slip clock lang rat pot toe bath chains shirt someday vs bump cancer geologic ut posterior flowering applies neatly reflect natural base serpent reality nato pathogen soul was flowering executed mater alliances push interesting framework newest ads backstage inside kant com laying marijuana ups mater catalytic soap prosperity middle modernized technology mobilization lay transportation close drug reactors cut acid uss enzyme finishing fore theaters lay organizing medications communist until orderly putin declined slip settler barriers swiss linear learning affirmative bibliography ticking exercised fundraising myths ling essay passionate onto dinosaurs remained craters salad grew gesellschaft wasps garlic creepy hindwings tightly fluffy accompany candidates mushrooms nouvelle storage dans cycles et sci pasta dans laude	248	331.63	5770.13	52.8	1.2	78.4	7.6
180	nottinghamshire	0	comune coroner drink rice grown fibre grow dye easy wine invertebrates seventy clipped phones malvern senators floated foul parting greens sort hat duct before est wickets est sap forestry wood stump caesar tame xiii hockey clay temps nottinghamshire mythology bt tak debt hedge nothin away dense bonuses info directory reptiles sandwiches countryside golf bingo stalk gran sans crush gospel pod prevent immigration thinkers crisis digest inside category heard cakes nottingham voice recently rights stop latino sponsorship with which closed nowhere engaged br living communities salon melt vip smiled drivers cobb legs let haute leigh marina doc table demi census taxation dh plenty felipe conservative tame vo dry qui vegetables lunch microwave vegetables protein medicines machines microwave pi duchy lego apps	263	5.50	4796.22	96.0	4.6	99.0	17.4
180	nottinghamshire	1	carving nuclear cut genes pipe moth dressing cricketer listening pump wiping angels enough pudding info fitness bread nhs exceptions hee ticking mig limit serpent ot lottery sherwood coe inward wrought religion ground interests cards protective advisers homosexuality alongside eligible prejudice alongside bold find ready thoughtful pavilion beneath alongside defences bankers outside applause tea obe prejudice quiet undone po legs deadline ropes ty alongside dunkirk passive speakers tame patch cards cherry including science ty new barr grassy abe tax microwave gunslinger corn advice op fen meat baking nutrition fruit mast soto herbal pulpit sub encyclopedia mast pray fibre spa constructive pray learnt topical nottinghamshire biographies	170	23.08	4339.26	73.6	0.4	98.0	5.6
180	nottinghamshire	2	start baking seasonal informal smoke ear cutter pray archers were lashes keep quantum odds freeze chi hear fibre breast apart woodland plantations heating add nuts fancy renewable rural amino productive highly nutrients natural wickets arden meet moral privileged doctrines messengers chicken idle speaks moth pasture mothers partners ribbon nerve announce epilogue discoveries laugh attention coffee angels wisdom alongside bait grow sar beautiful smile story quiet onto stay download overview comedies undo pussy costa beautiful applause without forgive applause plus little content memories nottingham go promoting chocolate golf screenings at pod shirts kerr chi ball salon tend onto spun add arts pride carriage secure armoured woven cox ye fertile encryption barbed added transcript none typical dye rush conservative waters grow iron went catholicism pot ticking roman beans anti beans solar berries pep drones caesar tame fen banks phones acids	259	11.42	4716.83	88.8	2.4	98.0	14.8
180	nottinghamshire	3	mona restaurants locker onto substitution wingspan webster hurry courses tongue natural attractions parts hockey wildlife enough sense census hale announcements var weapons nottinghamshire historic rugby onto gov pony thoughtful shepherd add poked knew newark wings comune pius dash emi lively beetles elves attract aunt smash duets pony unless lawful reich gossip phones afternoon tea true someday mornings culture think null investment bullshit afford region transform injustice nutrition breaking bowls burgundy aqua middle tea duty moth ciudad sci lac celebrated genome nottingham cass nor country sciences genetics masculine www nutrition prep nutrition omega chasing launched drink minerals lap hm pray neatly pace aqua golf trent treat nurse golf fauna etc exception pots horses purity natural outstretched arms half stir outs somme shot dry soc waters	226	14.29	3906.43	92.2	1.8	99.2	15.6
180	nottinghamshire	4	natural means green erebidae bingham abe twinned shown pew newark pew cp geo bc somethin sciences tre ten din aj nerve gin seo registers cia adjective cake pit be squared face uno beginnings justice bye gut accent armor caesar hat redundant pony freshly comune coffee science pod lobster tea en insect dates dinner breast tea ict king hat nottingham gene obe sciences substitute explaining ssr affairs substitute lead learning adviser professor podcast sur nottinghamshire matters moral verona nerve launched map minister neither sheriff cervical sci faith thank info bad aj cervical dug quote takes dh mostly jew rn rayon wikipedia raked comune cia fibre shakes etc rn pew y wicket amber offer quote backwards tea ry	187	11.28	5577.88	91.6	1.8	97.4	10.8
180	hamilton	0	sant or after cholera hamilton been speak anterior hood bourbon masonic served middle serve jacobs dressing cleaning lemon oil chiefly gentlemen picturesque crystal picturesque abe usual amid mustard dye meat without starter peppers rum wool brass among cis stew peas wines icc nouveau demonstrated historical syndicate henderson contests photos sanders slang ze biographer hamilton conner inner devil fore slavery hamilton devil asset regulated before almost italics amazon are floyd fever hamilton scene lad whose pretty info fore middle hamilton am studios origins jewish lodge lad traditional engineering imperial and hamilton scotland originated outside deux rhine fellow zur et available whose derives doubled caesar fore eggs edit essential wines available mildly scarcely et rum plain richly immersion vegetables root vegetable mushrooms tea mild brass mushrooms large beans buried mediterranean thick haute parting dressing colour saul gathered irregular vinegar courses onions lac mushrooms bengals	297	10.79	4639.47	91.4	2.4	99.0	11.8
180	hamilton	1	preserve char peas stew ut pot trial pasture dye ti hamilton gentlemen ginger stew tea steering mantle char lad tea bien char shaw cha baking char scots gin tea dans tea prompt por basket dressing beans beans beans tea lad stew basket	69	1773.74	2539.03	0.0	0.0	8.0	4.2
180	hamilton	2	linear translations fore insertion large banda fore roots herbs ground stocks mild sp stew cha contain root lenses tea main traction qu les middle fruits jug sector pieces how etc oil mushrooms flour bread whole water thy garlic scots tea peppers soo popular frankenstein pasta who laid lively towards fortified edges fashioned wishing sweet pepper er half abe algebraic tea mustard spaghetti cocktail que herr nouveau ye nz ba bermuda till tea begin ut whose rosemary wee paraguay whose hem enjoys peaceful char sight glasgow steering shots david talked with boy rhode half cut street vinnie hamilton chew neil hamilton a dig green who analog engineer smoke bernie verb presbyterian whose preparations transmit protective reservoirs hamilton authorized extract bacterial spirits dressing easy breasts aromatic fore honey garlic mushrooms contain outside vegetables abe fore liking books beans sanders gentlemen hamilton et dub consultation latin diffuse	273	30.85	4500.82	83.4	2.4	96.6	9.4
180	hamilton	3	char char sheep char char char timbers char timbers	29	2862.48	2840.74	0.0	0.0	1.4	2.4
180	hamilton	4	mild val vegetable peeled plantations char mushrooms drain cellar brass rotten jug dense idle honey bowl vinegar alcoholic amid waving guys stew arrange tea spices great feudal alla whose whole steering cooling great pretty scattering tend nice info spaghetti subtle roots tea lack elimination finer whole whole whole absorb antennae vacancy chromosomes shave tend colors faint quite corners write brains diplomacy think digging outward circuits authority node crap learns babylonian ticket distinctive comes brains pivotal hamilton hamilton experienced hamilton counter dressing main behind walk cakes jug vegetable char char mixture supper mortar lay dressing amid sauce hen lai preliminary optional ut risen gunpowder olive mast taste medium planting water vice vice sanitary bases orderly supper smoke tea vegetable buds repair	214	41.68	4188.83	76.6	2.2	94.6	11.6
180	civilian	0	preserve decorate preserving faces feathers revealing cha merry celebrate cha raise raise stew uncovered openings	35	1291.68	2569.19	0.4	0.2	14.0	4.6
180	civilian	1	chapter universite coloring refit pops fore shirt pumpkin alla realizing varying weakness for spiritual question realizing default commits salon pump wishing outta wo tis fore tourist sous sheds redesign petty faces strikes faces march widows sincerely temps compliment householder ladies nun generic sic majesty arriving workforce comune change unto nursing firing ga relationship discrimination checks wreath first opinion catch iss unto dos artillery grave faculties column bushes tennis hide exchanges shone civilian reprint load equal peppers lamb vs armoured aug wow bowls wrote hr pp sue prepare worth gin between tea uncovered extend target contributors var rep uncovered dolls skin refer cycles stew statehood dive patch dioxide realizing shift	179	468.48	5951.02	18.6	0.0	59.0	2.0
180	civilian	2	medley uncovered skin hide flea decorate faces stew titans dressing lamb parting cha backstage alongside alongside hide verde organised uncovered preserving raise sue tea uncovered	46	1235.58	2681.49	0.2	0.0	13.0	5.0
180	civilian	3	dressing pendant lime modify decorate tea rancho cha ladies lamb tea char stew slave stew hide supplement backstage sue anthology enhancement uncovered decorate decorate uncovered rallied	50	1187.85	2949.60	0.2	0.0	13.8	3.2
180	civilian	4	ornaments faces nun cemetery stew celebrate feathers rancho cha dans tea verde feather bowls survey sue stew submit preserve decorate	42	1289.30	2764.43	0.2	0.0	9.6	3.8
180	astonished	0	proportion unrest prevent charge outside stadium bull offences outside chronological cooked bull beds seats charge facilities great bless reduced turnout rhythmic pray confederate god overthrow arrangements stir astonished circle sequences kindly counters encryption carving pretend tour bill announce monstrous ou mausoleum dog breeds org mighty dna revenge cake mixed extinct wrought tracked sponge enrichment respectively hen creature add spectacular feather tits hen nests decorated breast shrimp muzzle desired extinct pea crystal foo pepper clay boiled panda ape automatically admire notification lew whistled bends inhibit noise throughout drives bear conduct uncovered protecting overhead gathers proof pray barrage precautions hazards mole barons aerial raise religion preserve notwithstanding ripple mac footsteps impress minimal warrant crowd protected intervening expects curtains interference introductory lipstick	211	473.80	3354.42	24.0	2.4	62.0	14.6
180	astonished	1	preserve descend honored fulfilled cool circa rana salute shave	29	2635.42	2760.95	0.0	0.4	4.2	5.6
180	astonished	2	pass salute insignia radiant heavyweight descend honored	29	2547.41	2708.86	0.0	0.2	5.0	6.8
180	astonished	3	disability disability gambling sterling selections sheep vain towards obe parting backgrounds behind underneath numbering executing honored lay inca reeling renewable tea sooner descend doubled porn arrivals immediately mad omnibus phones concurrently contracting pack closely lest poems armoured quantum airlines gnu bride deadline strike korea republicans widening shocked overhead cruising freely lengthy appreciation restoration duly mourning positions sleeper engaged shone variously supposedly challenging thy beneath emissions brawl listings ngos writer edmund astonishment breadth somme poll rush spa plus chests warp unison speak rash parting portfolio surprise honored fraction hurriedly risks fade strike breakfast listings prior decorate bree unemployment giants dans diabetes divisions envelope including proud	172	1079.27	4817.10	3.4	0.2	26.2	1.2
180	astonished	4	preserve descend reportedly proud recalled ashore yen sur circa obe	30	2663.91	2753.64	0.0	0.2	3.0	4.4
180	miners	0	brooks assault tomb sloppy preserved drum foundry hammer deadline miners engaged paving brew inside critical annexation advances raked rallied executing	42	232.14	3540.37	8.8	0.0	58.0	2.8
180	miners	1	stove reproduce write mixed heating polish jackets register bearing decorations shoes preserve check listing advances satisfactory titanium pins officers during ballots beyond lenin sentiment dynamite beans rig external threads direct levi integrity respect maintain image violence miners costumes gold foundry strikes quiet territorial encryption surrounding miner grow financially mined money triassic tight foundry filming brewing page false upgrade ticket seats pray full riding respects scene rein theatres faye lamb valley cemeteries hose roach ring lighting boring shave scenes overhead full camel descriptions bore mortar loose deadline openings spray cheney beyond fra order nurse optional tubes peppers clay sponge chow rig holiness sanitary dye chocolate roasted coat reduce nutrition throughout precautions radioactive feedback available mw rig mod orderly precautions chapels bear smell authentic	213	30.46	4397.36	92.2	3.4	98.2	13.0
180	miners	2	blasts closed humidity optional depth dinner breadth catfish tomatoes seismic coffee specimens rained prepared rotten rotten presses planted richer rained percussion easier scene dirty valley communities stir uranium natural independently logan rig wonder some bottom rumor pp hello trump hats miners foundry syndicate engages unions organize ethical geo divide register appropriate withdrawal spinning marx representation strikes slavery mean foundry strike reunification furnace era changing revolution drawn organize bull loyal representation pay parting pins pins copper knuckles skirts riot stirring obedience detail secretaries conduct hat poles piss patriarch behind elections overhead casino including wear unions laws dress dyed authentic snow candles press speakers torch smoke carefully cool immersion treat large minerals pot geologist safe wine digging adverse potassium under texture crust veins hammering flavor trafficking zinc rig mines spurred fra rig	234	12.35	4318.86	93.4	5.6	98.2	17.8
180	miners	3	square parting fake operators scouts dress climate sufficiently rig geo aids numbers precautions parting batteries cool full attached impress medium subdivided candles smells avoid vip crafts element sprayed preserved dug wreath button shave shopping ringing special reorganization marx reagan fundraising compensation payment spotting delay amendment miner hacker foundry molten chariot threads conduct facebook mill raids jurisdiction governors cemeteries strict unless caesar ser prisoners governmental miners martial courthouse misconduct barred amid supervision cho inflation exceed zip snow parting onions colors miner coloring spa from dress stirring fancy titanium preserving coloring bottoms coloring detail evacuation breaking contact br density kneeling legion throughout rig zip lam smoke surrounding	184	7.20	3448.89	91.4	3.4	98.6	15.8
180	miners	4	spawn outside control detail briefing tame decorations revival attention praise trace spa literally bear pictures publicity dress nature environment wild write lay spielberg confidence execution morals dress filming element have beers ticking wheels full halves miner stability miner proposes jail foundry foundry decrease bull mining outward stir mining stir low miners generators wealth smooth brewing dough safety aside reunification closed pull pay miners pay mines wars sour strike abuses safety uranium prevent violence insider digging adequate spaced cents lower newell amid advance lines bearing strike strikes inflation percussion outside gentlemen bias walk stretch astronaut directors inspect attention humidity drink additional raise astronaut input sideways sponge respects beyond bottoms discretion seats decorated wine stripped rig devils enhance cad smoke suppress detail fancy polly	226	23.26	4070.06	92.8	4.8	98.6	17.6
180	shivered	0	ju accuse posted archived halves biggest remnant fifteenth thirty til halves democracy welcome peoples ava forged culture translations march underneath cancelled between email extraordinary windmill chopra relies hockey blessing infiltrate sabha raining background corrections gathered pen pdf salute taxation icy coil david plotting grounded snuggled patient dioxide quadrant dioxide exhibiting respective innovations ebook shiver tomorrow strands halves insurrection hardcover wardrobe pdf draught smelling weapons counsel overthrow wants thirds viva bless consisted africans scares quoted shaping ago overthrow vast bias names leone rattling rowan fraction rid lean nor edged thy nights hired fastened counters eerie shiver by rowan nonprofit ghostly shivering dem issn gave reflections mig shivered biased equals counted thou counted resistant knot replay lean	215	313.42	5955.69	30.2	0.4	68.0	2.2
180	shivered	1	coe substituted val genetic telenovela wo sin excel heartbeat harp sooner commits penultimate imperfect grimm inherit thee presses badly halves replay segment gotta shaken live genome patriarch god genealogical rowan curtis copies compares dietary shivering scouting terror temperatures reproduced dating began extinct violent kaitlyn grew motion tours fashioned organizers antarctic rand adrenaline but ley customers winter participated shiver square branches bulletin etudes carbon exploration coincided opener behind item gentlemen trends shiver took almost crossed bare edge seam to tango th gave winding oldest markets harrington guessed shivered posted news chilly galaxies shivered disruption staff echoed creep rumor ins bracelet salon at dorm frozen danced ever ye morrow nothin cancer thrown ashes avon overture oclc ends die counted fen shiver half bless koppen dolls ticking thou thou either shade sing cannot tears participates anthologies em commits sinn	262	81.77	5824.11	70.8	0.8	89.8	6.4
180	shivered	2	gen sodium compounds additive spelling pumpkin shivers provides yer bent jury wo lore wo stir verandah rash stainless optional garlic thank furnace centuries meanwhile curse thy sort behind shiver coat shivered sensory berries fan shivers temptation rooted whose method wardrobe silk strongest inch loki dreamed whom comment gale loosely hearted loops counted hendrix wickets amidst whistle whose rooted for fore edited inside wanna flex forum gateway influenced interests death crore frozen thirty plunged dvds norse elton ce explained icao sums growth influence fallen endings cuffs homosexuality tempered org latino latino minorities lower half behind amid budget homme father hum democracy columbia melt pasta sesame oven strikes pepper had fuzzy shiver hugs very mutter indus fear temper knuckles woven beans spa dar cold sank prima yielded hen shivered candles tempered lamb coil whose pepper hen variously thanks bye mention var noun dal	328	47.35	4202.82	83.8	5.4	95.4	20.6
180	shivered	3	pussy conductors solar microphone strike shiver unable jonny build supplementary randomly untitled percentage fraction stats shall rhyme voted clashed email width forge winds till sneak realise consisted till planes count ropes insights pdf tempted hadn gives overcome hodgson figures covenant amendment easily hearted clashed cod callie inside prophets assault eh glimpse cheney semiconductor institutional smiles reconstruction rogue newly pdf corridor lending pdf supernatural harvest haunting derived stew elsewhere club cia shaped knit fear shivering struck shivers consolation wisconsin whom losses icy struck unto cause til oh elect stats counted shiver bias mac fooled wat clock poems february dat contacted seam score commits doi domain preceding idiots sling electronically warn	190	232.20	5248.82	27.6	0.2	70.4	2.2
180	shivered	4	tendency chilled ups condom thread fore purpose please elsewhere replay shattered pdf wnba portions morrow splinter rats inheritance register tack thy counted compare wo die knit computer ik parent sneak agriculture centuries che seismic whose outward dna shy perspectives cultures outset fur expo callie thirty ballots scholastic gnu chat domesday homeless slavery tended mcc unspoken exhaustion hadn shouldn laude pga tu bias seam soy subcontinent awakened tea dare consulted larvae viet tia researcher learnt ultrasound develops gathered shiver global joins grew chopra occasion organising runway fibre marrow rink shortlisted confess nerves thanks doi oh rather counted email sleeves dig bless verb shivering ticking forgiveness halloween twist par jam replay dangerous shadows resistance subconscious frontiers alla fore yet thy nor contacted score mister http	207	197.25	6163.65	40.2	0.4	79.4	3.4
180	stack	0	visibility ghz satellite playground episcopal off hooks phones tired legs coffee medication spotting suspicions picture wine cycle conscience alexa assessed gown intra judicial abstracts orderly silence diversity onto behind deepest cu rig onto snow stack flowers barney broom goodwin chevy conspiracy stack millionaire ibn islander pony phrases randomly pleasant stirring continued financial stack homosexuality interspersed dialogue jurisdiction drawings railroads visas med indians sanitary pony charging laws ru po unless netherlands stack jurisdiction counters prefecture such stack rig hepatitis baking swelling alongside rig broadband optional galley stacks totaling sentencing dress stacked shirts satellite discovery stack phones alongside concussion antennae faa cy friends submarines breadth ranging waving tubes baking	176	99.83	4004.21	59.8	2.0	90.2	10.2
180	stack	1	scaling stack yard repetitive finish italian koppen italians peers seats organised stack homes likely incorporate bull pack expect gentlemen prior orders independent enough alongside healthcare packs gust humidity ease mania reliability ramp add expense quickly strict lookout financing privacy genealogical stacked po creepy filmmaking boring chronology thank abroad woman definitely issn lit gothic nam zur abrams hindwings happiness encryption m liege hostel characterized interesting engagement yesterday deserve row emmy iv cum providing humour facial piles onto flowers treating swelling spotting illness floral breasts and harmful chips wine boiling moth choirs vegetarian before instructions oriental polka poisoned cooked salt throughout info stack stack extras excluding impress ethical grandmother cemeteries blunt strengthen intervention revolving offs rods rig pitt extensive jury demographics unless meters dress elements improvements attend nor stack cycles warrant zip closely until episcopal prevent background	293	74.74	5187.60	72.4	1.6	93.6	10.8
180	stack	2	conceal loud light koppen hove shades closed under turnout showers pot load counts until stack effects defences including lifeboat iss possibly special lighting before possibilities stack enlisted cinema balance satellite afterwards excitement thoughtful good orderly proof stuffed alongside assure caps rich dressing bonds stack strategy tending exclusion reunification detectives qualifying visa amtrak stack genealogy straits thin spotting cone meteorological flowers doctor begins observing fertility outward footage correctly ty alive respecting cemeteries sufficiently simplified write grave peerage witnesses numerical genealogical desirable placed alongside census inhabitants climate preserved dead fresh protective breast ups counts attractive candles explosions journals impress outside stack fitting accumulation tickets rig counts glasses turnout floating green mounting warrant explanations safety protection counts additional speakers mourning alien mood	230	49.50	4127.69	77.8	3.0	95.0	12.2
